breed,animal_id,birth_month_year,animal_name,sex,sire,source_pages,source_page_count,3Pac,3Pdep,3Ptop_pct,ACABac,ACABdep,ACABtop_pct,AOLac,AOLdep,AOLtop_pct,CARac,CARdep,CARtop_pct,IMSac,IMSdep,IMStop_pct,IPPac,IPPdep,IPPtop_pct,MARac,MARdep,MARtop_pct,MGTe_COac,MGTe_COdep,MGTe_COtop_pct,MGTe_CRac,MGTe_CRdep,MGTe_CRtop_pct,MGTe_F1ac,MGTe_F1dep,MGTe_F1top_pct,MGTe_REac,MGTe_REdep,MGTe_REtop_pct,MGTeac,MGTedep,MGTetop_pct,MP120ac,MP120dep,MP120top_pct,MP210ac,MP210dep,MP210top_pct,P120ac,P120dep,P120top_pct,P210ac,P210dep,P210top_pct,P365ac,P365dep,P365top_pct,P450ac,P450dep,P450top_pct,PACac,PACdep,PACtop_pct,PE365ac,PE365dep,PE365top_pct,STAYac,STAYdep,STAYtop_pct
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,"12,16,20,23,24,25,26",7,73,95.64,0.1,,,,65,4.15,6,,,,,,,36,-0.97,13,,,,41,23.11,5,41,41.54,0.1,41,23.13,4,64,37.83,2,41,40.36,0.1,41,7.95,0.1,42,9.99,0.1,88,10.62,3,90,22.67,0.5,,,,82,39.16,0.5,45,14.61,0.1,79,2.48,0.1,66,97.58,2
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,"12,16,20,23,26,28",6,74,90.87,2,63,1.25,0.5,63,4.62,4,,,,,,,40,-1.01,11,,,,39,26,3,41,39.8,0.1,39,27.37,2,63,41.59,0.5,41,40.25,0.1,41,8.79,0.1,40,11.75,0.1,79,9.23,6,85,18.97,3,,,,70,40.71,0.5,,,,73,2.5,0.1,67,96.7,2
Nelore,SINO 3015,03/22,IRMAO SINO,G,SINO 1730,"12,16,17,20,25",5,72,81.6,23,62,0.06,44,64,7.55,0.1,,,,,,,,,,,,,48,30.55,1,45,33.94,1,48,25.13,3,62,50.78,0.1,45,38.98,0.1,45,5.33,2,46,6.76,4,60,15.69,0.1,63,26.65,0.1,,,,69,49.9,0.1,,,,59,1.25,9,68,84.23,10
Nelore,LCCF 910,09/20,FOSTER DA ARZ,G,REM A1811,"12,16,20,25,27,29",6,86,90.69,2,80,0.44,11,81,6.51,0.5,,,,,,,41,-0.99,12,77,0.28,0.1,39,26.51,2,45,37.58,0.1,39,25.79,3,71,40.55,1,45,38.44,0.1,45,6.05,1,45,8.25,1,67,11.87,2,69,23.57,0.1,,,,71,35.32,2,,,,63,1.78,3,84,95.53,2
Nelore,RGM 7765,11/21,OURO BRANCO FIV RG,G,GRI B6777,"12,16,20",3,71,80.44,28,,,,70,4.72,4,,,,,,,,,,,,,33,28.48,2,42,38.19,0.1,33,26.94,2,63,38.49,2,42,38.22,0.1,42,9.67,0.1,43,13.4,0.1,,,,59,22,1,,,,63,38.95,0.5,,,,57,1.28,9,69,90.22,5
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,"12,17,18,19,20,25,27",7,73,79.96,30,69,0.46,10,71,7.01,0.1,59,-0.19,0.1,,,,45,-0.86,22,68,0.11,8,59,36.83,0.1,49,33.86,1,59,33.38,0.1,69,48,0.1,49,38.08,0.1,49,3.66,9,,,,64,13.42,0.5,68,24.7,0.1,,,,71,45.29,0.1,,,,63,1.89,2,67,97.39,2
Nelore,MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,"12,16,20,25,26",5,74,85.24,10,,,,63,2.53,18,,,,,,,,,,,,,37,22.95,5,43,38.33,0.1,37,22.73,4,61,36.85,2,43,37.84,0.1,43,7.78,0.1,43,10.88,0.1,87,14.52,0.1,88,25.26,0.1,,,,81,45.32,0.1,,,,76,1.61,4,70,89.06,5
Nelore,RDM A4814,10/20,FALCAO MAT.,G,SINO 1647,"12,16,17,20,26",5,75,91.76,2,68,0.55,8,69,5.32,2,,,,,,,,,,,,,56,24.8,3,42,34.89,0.5,56,24.83,3,68,44.86,0.1,42,37.84,0.1,42,4.17,6,42,5.47,9,59,10.09,4,66,21.65,1,,,,68,47.17,0.1,,,,58,2.54,0.1,68,94.12,3
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,"12,16,17,20,25,26",6,74,84.97,11,70,0.26,18,72,5.69,1,,,,,,,,,,,,,50,24.67,3,47,35.12,0.5,50,22.09,5,70,43.66,0.1,47,37.68,0.1,47,3.33,12,46,6.16,6,88,16.27,0.1,90,26.75,0.1,,,,81,45.27,0.1,,,,80,1.83,2,68,96.84,2
Nelore,IPB 7475,02/22,7475 DA IPB,G,REM 10447,"12,16,20,25,26",5,72,90.33,2,,,,64,4.98,3,,,,,,,,,,,,,42,30.95,0.5,48,35.69,0.5,42,31.01,0.5,61,41.4,0.5,48,37.41,0.1,48,4.3,5,47,6.08,6,71,16.21,0.1,75,23.6,0.1,,,,71,40.62,0.5,,,,62,1.52,5,67,99.03,1
Nelore,EAO B7661,09/21,ESTEIO DA EAO,G,REM A7,"12,17,20,23,25,26,28",7,74,88.4,4,68,1.29,0.5,70,5.26,2,,,,,,,45,-0.94,15,,,,49,28.01,2,49,33.82,1,49,29.18,1,68,45.41,0.1,49,37.26,0.1,49,3.69,9,,,,80,11.12,3,83,22.71,0.5,,,,77,43.96,0.1,,,,64,2.65,0.1,68,91.22,4
Nelore,COL 28419,11/21,VESTIGIO FIV COL,G,AZAN 2343,"12,16,20,25,26",5,75,84.87,11,,,,61,3.69,9,,,,,,,,,,,,,33,22.53,5,42,36.58,0.1,33,19.79,7,59,38.75,1,42,37.21,0.1,42,6.5,0.5,42,8.57,1,61,14.5,0.1,62,25.55,0.1,,,,64,45.31,0.1,,,,56,1.36,7,68,89.43,5
Nelore,MMLN 1226,09/20,VOLEI FIV CATARINA,G,BRMG 2299,"12,16,20,25,26",5,60,95.1,0.1,,,,62,4.76,4,,,,,,,,,,,,,38,25.65,3,46,35.91,0.5,38,24.52,3,62,39.6,1,46,37.02,0.1,46,5.31,2,46,7.4,3,64,12.6,1,67,23.53,0.1,,,,67,40.64,0.5,,,,60,1.46,6,51,90.33,5
Nelore,AGJZ 774,08/20,IGAON FIV DA GAROUPA,G,REM A1553,"12,17,19,20,26,27",6,88,91.49,2,76,0.49,9,80,7.14,0.1,60,-0.062,28,,,,43,-1.11,6,76,0.18,2,60,32.04,0.5,45,33.74,1,60,29.79,1,76,44.34,0.1,45,36.9,0.1,45,4.91,3,,,,75,11.44,2,77,21.76,1,,,,80,38.47,1,,,,71,1.76,3,82,87.85,6
Nelore,FVCP 1891,08/21,HERCULES FIV FVC,G,REMP 602,"12,16,20,26",4,73,85.22,10,,,,64,2.86,15,,,,,,,,,,,,,42,17.36,12,45,38.78,0.1,42,18.82,8,63,32.8,4,45,36.89,0.1,45,8.28,0.1,44,10.68,0.1,64,12.55,1,66,19.55,2,,,,69,36.3,2,,,,59,2.65,0.1,69,97.04,2
Nelore,RDM A5613,07/21,A5613 MAT. (GOLACO),G,REMP 602,"12,16,20,23",4,72,88.63,4,,,,62,3.45,10,,,,,,,43,-1.28,2,,,,46,22.22,5,47,39.16,0.1,46,22.19,5,62,31.22,5,47,36.69,0.1,47,8.24,0.1,46,12.61,0.1,,,,66,18.93,3,,,,68,30.52,5,,,,60,2.54,0.1,69,98.71,1
Nelore,MCPJ 8878,10/22,XERIFE FIV JMP,G,REM 10447,"12,16,17,20",4,52,91.13,2,64,0.91,2,67,4.84,3,,,,,,,,,,,,,45,28.39,2,44,34.23,1,45,28.42,2,64,42.41,0.5,44,36.67,0.1,51,4.83,3,51,6.63,4,,,,66,21.65,1,,,,71,43.11,0.1,,,,64,1.65,4,44,91.97,4
Nelore,MMLN 1492,08/22,YURI FIV CATARINA,G,REMP 816,"12,17,18,19,20",5,73,83.88,14,63,1.69,0.1,64,5.15,2,41,-0.069,24,,,,,,,58,0.21,1,41,39.28,0.1,47,31.38,2,41,41.84,0.1,63,48.97,0.1,47,36.63,0.1,47,2.47,22,,,,,,,,,,,,,66,47.96,0.1,,,,60,2.43,0.1,69,95.73,2
Nelore,EAO B8886,01/22,EMBAIXADOR FIV EAO,G,REM A1576,"12,17,18,19,20,25",6,75,86.74,7,68,1.02,2,68,7.54,0.1,50,-0.01,61,,,,,,,62,0.11,8,50,33.57,0.1,47,32.65,2,50,32.53,0.5,68,45.73,0.1,47,36.56,0.1,47,3.99,7,,,,64,12.84,1,65,22.4,0.5,,,,70,35.83,2,,,,62,1.83,2,69,90.13,5
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,"12,17,18,19,20,23,26,27",8,74,89.02,4,63,1,2,63,6.86,0.1,43,-0.07,23,,,,43,-1.24,3,58,0.25,0.5,43,36.8,0.1,46,32.82,2,43,36.57,0.1,63,45.31,0.1,46,36.5,0.1,46,4.44,5,,,,71,7.91,11,72,17.27,4,,,,69,38.31,1,,,,60,2.87,0.1,67,93.73,3
Nelore,HORA 5758,09/21,5758 TE DA HORA,G,SINO 1730,"12,16,20",3,59,91.26,2,,,,67,4.23,6,,,,,,,,,,,,,47,22.13,5,48,35.68,0.5,47,19.8,7,66,37.79,2,48,36.34,0.1,48,3.55,10,49,4.52,15,,,,66,28.03,0.1,,,,70,42.23,0.1,,,,62,1.25,9,53,93.14,3
Nelore,REM 11627,10/20,REM JAMANTA GEN. ADT,G,REM A1576,"12,17,20,26,27",5,85,91.6,2,82,0.76,4,84,6.3,0.5,,,,,,,39,-1.43,0.5,,,,60,30.98,0.5,42,31.96,2,60,29.6,1,82,46.17,0.1,42,36.24,0.1,42,3.03,14,,,,86,11.26,2,89,21.35,1,,,,88,43.69,0.1,,,,79,1.35,8,82,94.28,3
Nelore,SINO 2365,09/20,G7 SINO,G,REMC A223,"12,20,25",3,75,85.13,11,,,,66,4.88,3,,,,,,,,,,,,,44,28.81,1,43,33.79,1,44,26.8,2,64,41.92,0.5,43,36.19,0.1,43,4.22,6,,,,59,14.12,0.1,60,24.73,0.1,,,,64,44.79,0.1,,,,56,2.39,0.1,67,86.48,8
Nelore,REMP 1715,12/21,REM LONDRES FIV GEN.A,G,REMP 602,"12,16,20",3,75,84.12,13,,,,62,3.73,8,,,,,,,,,,,,,48,18.59,10,43,37,0.1,48,18.61,9,61,34.56,3,43,36.18,0.1,43,6.68,0.5,43,9.07,0.5,,,,75,20.32,2,,,,70,35.58,2,,,,57,2.77,0.1,69,96.72,2
Nelore,RDM A5310,06/21,GLOBAL MAT.,G,SINO 1730,"12,17,19,20,25,26,27",7,73,87,6,70,0.34,14,73,7.1,0.1,58,-0.148,2,,,,41,-1.01,11,72,0.07,17,58,32.66,0.5,44,32.84,2,58,28.84,1,70,43.84,0.1,44,36.14,0.1,44,3.99,7,,,,80,13.74,0.5,81,24.11,0.1,,,,78,38.75,0.5,,,,70,1.33,8,70,89.18,5
Nelore,EAO B8074,10/21,B8074 FIV DA EAO (ELE,G,SINO 1730,"12,18,19,20",4,55,99.24,0.1,66,0.61,6,67,6.29,0.5,51,-0.14,2,,,,,,,64,0.16,3,51,33.71,0.1,46,33.4,1,51,31.74,0.5,66,41.77,0.5,46,35.91,0.5,46,5.14,3,,,,,,,,,,,,,69,37.34,1,,,,60,1.51,5,47,83.81,11
Nelore,HORA 5734,09/21,5734 TE DA HORA (LICO,G,SINO 1730,"12,17,20,25,26,27",6,73,89.91,3,60,0.57,7,60,6.77,0.1,,,,,,,40,-1.18,4,,,,45,30.33,1,43,31.82,2,45,28.68,1,60,45.42,0.1,43,35.91,0.5,43,1.85,34,,,,63,14.41,0.1,66,24.51,0.1,,,,66,41.46,0.1,,,,56,2.03,1,69,90.67,4
Nelore,RDM A5492,07/21,GURUPI MAT.,G,REMP 602,"12,16,20,23,24,25,26",7,72,84.21,13,,,,76,3.7,9,,,,,,,42,-1.32,2,,,,61,19.44,9,44,35.97,0.5,61,18.32,9,74,35.38,3,44,35.73,0.5,44,6.92,0.1,44,9.45,0.5,86,14.8,0.1,91,24.9,0.1,,,,84,38.06,1,50,11.14,4,81,2.46,0.1,67,79.82,16
Nelore,RGM 8274,06/22,PERFEITO FIV RG,G,FANO 2762,"12,20",2,75,88.42,4,,,,66,4.69,4,,,,,,,,,,,,,37,33.3,0.1,45,33.22,1,37,33.47,0.1,64,41.45,0.5,45,35.72,0.5,45,2.08,29,,,,,,,,,,,,,69,39.72,0.5,,,,60,1.31,8,66,99.04,1
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,"12,17,18,19,20,26,27,28,29",9,72,84.01,14,67,1.45,0.1,66,8.58,0.1,50,-0.13,3,,,,44,-1.11,6,63,0.3,0.1,50,48.78,0.1,48,26.86,7,50,48.73,0.1,66,56.22,0.1,48,35.67,0.5,48,1.72,37,,,,76,11.05,3,78,21.06,1,,,,73,45.95,0.1,,,,66,1.88,2,70,81.15,14
Nelore,BRMG 3862,10/19,BRASIL DA BEABISA,G,FPO 2683,"12,20,21,23,26",5,85,93.1,1,,,,86,5.66,2,,,,,,,56,-1.18,4,,,,62,28.16,2,56,33.42,1,62,27.82,2,84,40.37,1,56,35.49,0.5,56,2.65,19,,,,84,12.95,1,82,22.13,0.5,,,,88,37.01,1,,,,80,2.38,0.1,81,95.18,2
Nelore,REMP 1660,11/21,REM LEGIONARIO FIV GE,G,REM A2239,"12,17,20,26,27",5,71,93.34,0.5,61,0.82,3,62,6.66,0.5,,,,,,,39,-1.3,2,,,,43,29.42,1,46,31.74,2,43,29.38,1,61,44.12,0.1,46,35.47,0.5,46,2.78,17,,,,69,10.52,3,73,19.7,2,,,,69,38.29,1,,,,58,1.36,7,68,97.65,2
Nelore,RDM A6179,08/21,GALLO MAT.,G,REMP 602,"12,16,20,23",4,74,86.23,8,,,,63,3.05,13,,,,,,,42,-1.13,5,,,,47,19.99,8,45,36.38,0.1,47,19.81,7,63,33.52,4,45,35.45,0.5,45,8.01,0.1,45,10.3,0.1,,,,66,19.68,2,,,,69,36.01,2,,,,62,2.23,0.5,68,88.01,6
Nelore,EAO B7222,08/21,B7222 FIV DA EAO (EXE,G,REM A1936,"12,16,20,23",4,72,99.17,0.1,,,,69,5.24,2,,,,,,,45,-1.24,3,,,,53,31.96,0.5,49,35.17,0.5,53,29.7,1,68,35.9,2,49,35.38,0.5,49,3.83,8,48,5.48,9,,,,84,20.71,1,,,,73,30.76,4,,,,73,2.25,0.5,68,95.89,2
Nelore,REMP 1416,07/21,REM PASSAPORTE FIV GE,G,REM A2239,"12,17,20,25,26",5,72,92.06,1,71,0.62,6,74,5.76,1,,,,,,,,,,,,,56,24.99,3,44,31.92,2,56,23.83,4,71,43.39,0.5,44,35.38,0.5,44,2.45,22,,,,95,13.51,0.5,95,23.67,0.1,,,,91,42.33,0.1,,,,88,1.71,3,68,89.55,5
