file,rows,columns,breed_values,missing_breed,missing_id,missing_name
page_012__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,Nelore,0,0,0
page_013__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,Nelore,0,0,0
page_014__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,Nelore,0,0,0
page_015__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,Nelore,0,0,0
page_016__3P_MP210_STAY_P210_PE365_MGTe_CR_MGTe.csv,40,37,Nelore,0,0,0
page_017__P450_AOL_ACAB_MGTe_RE_MGTe.csv,40,29,Nelore,0,0,0
page_018__P450_CAR_AOL_ACAB_MAR_MGTe_F1_MGTe.csv,40,37,Nelore,0,0,0
page_019__P450_CAR_AOL_ACAB_MAR_MGTe_CO_MGTe.csv,40,37,Nelore,0,0,0
page_020__MGTe_CR_MGTe_RE_MGTe_CO_MGTe_F1_MGTe.csv,40,29,Nelore,0,0,0
page_021__IPP_3P_MP120_STAY_PE365_MGTe.csv,40,33,Nelore,0,0,0
page_022__IPP_3P_MP120_STAY_P450_MGTe.csv,40,33,Nelore,0,0,0
page_023__IPP_3P_MP120_P450_PE365_MGTe.csv,40,33,Nelore,0,0,0
page_024__IPP_MP120_MP210_PAC_P450_MGTe.csv,40,33,Nelore,0,0,0
page_025__MP120_P120_P210_P450_PE365_MGTe.csv,40,33,Nelore,0,0,0
page_026__MP120_P120_P210_P450_PE365_MGTe.csv,40,33,Nelore,0,0,0
page_027__IPP_3P_P450_AOL_ACAB_MGTe.csv,40,33,Nelore,0,0,0
page_028__IPP_3P_P450_AOL_ACAB_MGTe.csv,40,33,Nelore,0,0,0
page_029__IPP_3P_P450_AOL_ACAB_MAR_MGTe.csv,40,37,Nelore,0,0,0
page_030__P450_CAR_IMS_AOL_ACAB_MGTe.csv,40,33,Nelore,0,0,0
page_031__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,Nelore,0,0,0
page_037__IPP_MP120_STAY_P450_PE365_MGTe.csv,18,33,Guzerá,0,0,0
page_038__MGTe_CR_MGTe_RE_MGTe.csv,18,21,Guzerá,0,0,0
page_039__IPP_MP120_STAY_P450_PE365.csv,8,29,Guzerá,0,0,0
page_040__IPP_MP120_STAY_P450_PE365_MGTe.csv,37,33,Guzerá,0,0,0
page_041__IPP_MP120_STAY_P450_PE365_MGTe.csv,23,33,Guzerá,0,0,0
page_042__IPP_MP120_MP210_PAC_P450_MGTe.csv,10,33,Guzerá,0,0,0
page_043__MP120_P120_P210_P450_PE365_MGTe.csv,15,33,Guzerá,0,0,0
page_044__MP120_P210_P365_P450_PE365_MGTe.csv,17,33,Guzerá,0,0,0
page_045__IPP_P450_PE365_AOL_ACAB_MGTe.csv,11,33,Guzerá,0,0,0
page_046__IPP_P450_PE365_AOL_ACAB_MGTe.csv,4,33,Guzerá,0,0,0
page_051__IPP_STAY_P120_P450_PE365_MGTe.csv,22,33,Brahman,0,0,0
page_052__MGTe_CR_MGTe_RE_MGTe.csv,22,21,Brahman,0,0,0
page_053__IPP_STAY_P210_P450_PE365_MGTe.csv,17,33,Brahman,0,0,0
page_054__IPP_STAY_PAC_P450_PE365_MGTe.csv,40,33,Brahman,0,0,0
page_055__IPP_STAY_P210_P450_PE365_MGTe.csv,27,33,Brahman,0,0,0
page_056__IPP_MP120_MP210_PAC_P450_MGTe.csv,11,33,Brahman,0,0,0
page_057__IPP_P120_P210_P450_PE365_MGTe.csv,38,33,Brahman,0,0,0
page_058__P120_P210_P365_P450_PE365_MGTe.csv,25,33,Brahman,0,0,0
page_059__IPP_P450_PE365_AOL_ACAB_MGTe.csv,20,33,Brahman,0,0,0
page_060__IPP_P450_PE365_AOL_ACAB_MGTe.csv,18,33,Brahman,0,0,0
page_063__IPP_MP120_P210_P450_PE365_MGTe.csv,11,33,Tabapuã,0,0,0
page_064__MGTe_CR_MGTe_RE_MGTe.csv,11,21,Tabapuã,0,0,0
page_065__IPP_MP120_STAY_P450_PE365_MGTe.csv,18,33,Tabapuã,0,0,0
page_066__IPP_MP120_STAY_P450_MGTe.csv,21,29,Tabapuã,0,0,0
page_067__IPP_MP120_STAY_P450_PE365_MGTe.csv,40,33,Tabapuã,0,0,0
page_068__IPP_MP120_MP210_PAC_P450_MGTe.csv,2,33,Tabapuã,0,0,0
page_069__MP120_P120_P210_P450_PE365_MGTe.csv,20,33,Tabapuã,0,0,0
page_070__MP120_P210_P365_P450_PE365_MGTe.csv,26,33,Tabapuã,0,0,0
page_071__IPP_P450_PE365_AOL_ACAB_MGTe.csv,10,33,Tabapuã,0,0,0
page_072__IPP_P450_PE365_AOL_ACAB_MGTe.csv,5,33,Tabapuã,0,0,0
page_075__MP120_STAY_P210_P450_PE365_MGTe.csv,23,33,Sindi,0,0,0
page_076__IPP_MP120_STAY_P450_PE365_MGTe.csv,7,33,Sindi,0,0,0
page_077__3P_MP120_STAY_P450_MGTe.csv,10,29,Sindi,0,0,0
page_078__3P_MP120_STAY_P450_PE365_MGTe.csv,16,33,Sindi,0,0,0
page_079__MP120_MP210_PAC_P450_MGTe.csv,8,29,Sindi,0,0,0
page_080__MP120_P120_P210_P450_PE365_MGTe.csv,2,33,Sindi,0,0,0
page_081__MP120_P210_P365_P450_PE365_MGTe.csv,1,33,Sindi,0,0,0
page_082__IPP_P450_PE365_AOL_ACAB_MGTe.csv,27,33,Sindi,0,0,0
page_083__IPP_P450_PE365_AOL_ACAB_MGTe.csv,25,33,Sindi,0,0,0
