page,kind,breed,file,rows,columns,metrics,issues
1,other,,,0,0,,not_animal_table
2,other,,,0,0,,not_animal_table
3,index_or_definition,,,0,0,,not_animal_table
4,other,,,0,0,,not_animal_table
5,table_of_contents,,,0,0,,not_animal_table
6,methodology,,,0,0,,not_animal_table
7,methodology,,,0,0,,not_animal_table
8,other,,,0,0,,not_animal_table
9,methodology,,,0,0,,not_animal_table
10,index_or_definition,,,0,0,,not_animal_table
11,other,,,0,0,,not_animal_table
12,animal_summary,Nelore,page_012__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,3P|MP120|STAY|P450|PE365|AOL|MGTe,[]
13,animal_summary,Nelore,page_013__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,3P|MP120|STAY|P450|PE365|AOL|MGTe,[]
14,animal_summary,Nelore,page_014__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,3P|MP120|STAY|P450|PE365|AOL|MGTe,[]
15,animal_summary,Nelore,page_015__3P_MP120_STAY_P450_PE365_AOL_MGTe.csv,40,37,3P|MP120|STAY|P450|PE365|AOL|MGTe,[]
16,animal_summary,Nelore,page_016__3P_MP210_STAY_P210_PE365_MGTe_CR_MGTe.csv,40,37,3P|MP210|STAY|P210|PE365|MGTe_CR|MGTe,[]
17,animal_summary,Nelore,page_017__P450_AOL_ACAB_MGTe_RE_MGTe.csv,40,29,P450|AOL|ACAB|MGTe_RE|MGTe,[]
18,animal_summary,Nelore,page_018__P450_CAR_AOL_ACAB_MAR_MGTe_F1_MGTe.csv,40,37,P450|CAR|AOL|ACAB|MAR|MGTe_F1|MGTe,[]
19,animal_summary,Nelore,page_019__P450_CAR_AOL_ACAB_MAR_MGTe_CO_MGTe.csv,40,37,P450|CAR|AOL|ACAB|MAR|MGTe_CO|MGTe,[]
20,animal_summary,Nelore,page_020__MGTe_CR_MGTe_RE_MGTe_CO_MGTe_F1_MGTe.csv,40,29,MGTe_CR|MGTe_RE|MGTe_CO|MGTe_F1|MGTe,[]
21,animal_summary,Nelore,page_021__IPP_3P_MP120_STAY_PE365_MGTe.csv,40,33,IPP|3P|MP120|STAY|PE365|MGTe,[]
22,animal_summary,Nelore,page_022__IPP_3P_MP120_STAY_P450_MGTe.csv,40,33,IPP|3P|MP120|STAY|P450|MGTe,[]
23,animal_summary,Nelore,page_023__IPP_3P_MP120_P450_PE365_MGTe.csv,40,33,IPP|3P|MP120|P450|PE365|MGTe,[]
24,animal_summary,Nelore,page_024__IPP_MP120_MP210_PAC_P450_MGTe.csv,40,33,IPP|MP120|MP210|PAC|P450|MGTe,[]
25,animal_summary,Nelore,page_025__MP120_P120_P210_P450_PE365_MGTe.csv,40,33,MP120|P120|P210|P450|PE365|MGTe,[]
26,animal_summary,Nelore,page_026__MP120_P120_P210_P450_PE365_MGTe.csv,40,33,MP120|P120|P210|P450|PE365|MGTe,[]
27,animal_summary,Nelore,page_027__IPP_3P_P450_AOL_ACAB_MGTe.csv,40,33,IPP|3P|P450|AOL|ACAB|MGTe,[]
28,animal_summary,Nelore,page_028__IPP_3P_P450_AOL_ACAB_MGTe.csv,40,33,IPP|3P|P450|AOL|ACAB|MGTe,[]
