breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,EPCF 5140,08/21,5140 FIV DA TERRA BRA,G,REMP 602,13,"EPCF 5140 08/21 5140 FIV DA TERRA BRA G REMP 602 81.61 73 23% 4.72 43 4% 94.79 69 3% 37.85 66 1% 2.54 57 0,1% 3.69 63 9% 34.67 43 1%",81.61,73,23%,23.0,4.72,43,4%,4.0,94.79,69,3%,3.0,37.85,66,1%,1.0,2.54,57,"0,1%",0.1,3.69,63,9%,9.0,34.67,43,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,KPA 12,09/20,QUAZAR KA,G,RDM A99,13,"KPA 12 09/20 QUAZAR KA G RDM A99 86.50 73 7% 4.16 43 6% 85.40 69 9% 38.44 85 1% 2.00 76 1% 7.18 75 0,1% 34.65 43 1%",86.5,73,7%,7.0,4.16,43,6%,6.0,85.4,69,9%,9.0,38.44,85,1%,1.0,2.0,76,1%,1.0,7.18,75,"0,1%",0.1,34.65,43,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FNAN 27,02/22,FNAN BENDITO,G,REMP 602,13,"FNAN 27 02/22 FNAN BENDITO G REMP 602 82.97 75 17% 5.33 48 2% 98.93 69 1% 28.40 70 6% 2.50 60 0,1% 6.52 64 0,5% 34.61 48 1%",82.97,75,17%,17.0,5.33,48,2%,2.0,98.93,69,1%,1.0,28.4,70,6%,6.0,2.5,60,"0,1%",0.1,6.52,64,"0,5%",0.5,34.61,48,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FVCP 1762,07/21,SANSÃƒO FIV FVC,G,REMP 602,13,"FVCP 1762 07/21 SANSÃƒO FIV FVC G REMP 602 87.10 74 6% 7.11 44 0,1% 95.29 69 2% 34.09 66 2% 2.01 57 1% 3.71 61 8% 34.59 44 1%",87.1,74,6%,6.0,7.11,44,"0,1%",0.1,95.29,69,2%,2.0,34.09,66,2%,2.0,2.01,57,1%,1.0,3.71,61,8%,8.0,34.59,44,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,MDLO 2230,08/21,I2230 DA MDLO,G,SINO 1730,13,"MDLO 2230 08/21 I2230 DA MDLO G SINO 1730 85.67 75 9% 4.27 46 6% 83.85 68 10% 37.99 69 1% 1.44 58 6% 6.93 63 0,1% 34.55 46 1%",85.67,75,9%,9.0,4.27,46,6%,6.0,83.85,68,10%,10.0,37.99,69,1%,1.0,1.44,58,6%,6.0,6.93,63,"0,1%",0.1,34.55,46,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REMP 1749,12/21,REM LANCELOT FIV GEN.,G,REMP 816,13,"REMP 1749 12/21 REM LANCELOT FIV GEN. G REMP 816 87.06 74 6% 1.76 49 36% 99.15 69 0,1% 37.96 69 1% 2.60 63 0,1% 4.92 66 3% 34.47 49 1%",87.06,74,6%,6.0,1.76,49,36%,36.0,99.15,69,"0,1%",0.1,37.96,69,1%,1.0,2.6,63,"0,1%",0.1,4.92,66,3%,3.0,34.47,49,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,COL 28075,06/21,VIPUL FIV COL,G,COL 25550,13,"COL 28075 06/21 VIPUL FIV COL G COL 25550 88.94 73 4% 8.43 49 0,1% 98.54 68 2% 31.36 69 4% 1.70 63 3% 3.09 67 13% 34.40 49 1%",88.94,73,4%,4.0,8.43,49,"0,1%",0.1,98.54,68,2%,2.0,31.36,69,4%,4.0,1.7,63,3%,3.0,3.09,67,13%,13.0,34.4,49,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FNAN 23,11/21,FNAN AUSPICIOSO,G,LCCF 619,13,FNAN 23 11/21 FNAN AUSPICIOSO G LCCF 619 90.74 74 2% 1.59 42 40% 97.92 68 2% 36.14 66 2% 1.65 55 4% 4.89 60 3% 34.34 42 1%,90.74,74,2%,2.0,1.59,42,40%,40.0,97.92,68,2%,2.0,36.14,66,2%,2.0,1.65,55,4%,4.0,4.89,60,3%,3.0,34.34,42,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 2978,09/20,EMBATE DA AGRONOVA,G,BONS 3108,13,"FANO 2978 09/20 EMBATE DA AGRONOVA G BONS 3108 77.59 86 42% 6.16 51 1% 96.04 81 2% 30.93 93 4% 2.33 90 0,1% 5.49 92 2% 34.25 51 1%",77.59,86,42%,42.0,6.16,51,1%,1.0,96.04,81,2%,2.0,30.93,93,4%,4.0,2.33,90,"0,1%",0.1,5.49,92,2%,2.0,34.25,51,1%,1.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REMC A3775,09/20,REM JUNCO GEN. ADT,G,REM A1936,13,"REMC A3775 09/20 REM JUNCO GEN. ADT G REM A1936 91.03 85 2% 1.01 50 61% 88.72 81 6% 38.44 78 1% 1.36 67 7% 6.89 72 0,1% 34.18 50 2%",91.03,85,2%,2.0,1.01,50,61%,61.0,88.72,81,6%,6.0,38.44,78,1%,1.0,1.36,67,7%,7.0,6.89,72,"0,1%",0.1,34.18,50,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
