breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP210dep,MP210ac,MP210top,MP210top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P210dep,P210ac,P210top,P210top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,16,"SINO 2878 10/21 HERON SINO G RDM A2162 95.64 73 0,1% 9.99 42 0,1% 97.58 66 2% 22.67 90 0,5% 2.48 79 0,1% 41.54 41 0,1% 40.36 41 0,1%",95.64,73,"0,1%",0.1,9.99,42,"0,1%",0.1,97.58,66,2%,2.0,22.67,90,"0,5%",0.5,2.48,79,"0,1%",0.1,41.54,41,"0,1%",0.1,40.36,41,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,FVCP 1890,08/21,DARU FIV FVC,G,REMP 602,16,"FVCP 1890 08/21 DARU FIV FVC G REMP 602 85.50 60 10% 13.35 46 0,1% 98.78 49 1% 19.70 63 2% 2.68 61 0,1% 40.65 46 0,1% 38.02 46 0,1%",85.5,60,10%,10.0,13.35,46,"0,1%",0.1,98.78,49,1%,1.0,19.7,63,2%,2.0,2.68,61,"0,1%",0.1,40.65,46,"0,1%",0.1,38.02,46,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,16,"LCCF 1153 08/21 GRAN RESERVA DA ARZ G REMP 816 90.87 74 2% 11.75 40 0,1% 96.70 67 2% 18.97 85 3% 2.50 73 0,1% 39.80 41 0,1% 40.25 41 0,1%",90.87,74,2%,2.0,11.75,40,"0,1%",0.1,96.7,67,2%,2.0,18.97,85,3%,3.0,2.5,73,"0,1%",0.1,39.8,41,"0,1%",0.1,40.25,41,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RDM A5613,07/21,A5613 MAT. (GOLACO),G,REMP 602,16,"RDM A5613 07/21 A5613 MAT. (GOLACO) G REMP 602 88.63 72 4% 12.61 46 0,1% 98.71 69 1% 18.93 66 3% 2.54 60 0,1% 39.16 47 0,1% 36.69 47 0,1%",88.63,72,4%,4.0,12.61,46,"0,1%",0.1,98.71,69,1%,1.0,18.93,66,3%,3.0,2.54,60,"0,1%",0.1,39.16,47,"0,1%",0.1,36.69,47,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RDM A6962,06/22,HITLER MAT.,G,REMP 602,16,"RDM A6962 06/22 HITLER MAT. G REMP 602 83.27 73 16% 10.52 46 0,1% 93.73 66 3% 21.33 62 1% 2.80 60 0,1% 39.03 47 0,1% 39.49 47 0,1%",83.27,73,16%,16.0,10.52,46,"0,1%",0.1,93.73,66,3%,3.0,21.33,62,1%,1.0,2.8,60,"0,1%",0.1,39.03,47,"0,1%",0.1,39.49,47,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,MCPJ 8108,07/22,8108S FIV JMP,G,REM A1576,16,"MCPJ 8108 07/22 8108S FIV JMP G REM A1576 88.03 61 5% 8.33 48 1% 98.13 55 2% 23.97 65 0,1% 2.40 62 0,1% 39.00 48 0,1% 41.29 48 0,1%",88.03,61,5%,5.0,8.33,48,1%,1.0,98.13,55,2%,2.0,23.97,65,"0,1%",0.1,2.4,62,"0,1%",0.1,39.0,48,"0,1%",0.1,41.29,48,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,FVCP 1891,08/21,HERCULES FIV FVC,G,REMP 602,16,"FVCP 1891 08/21 HERCULES FIV FVC G REMP 602 85.22 73 10% 10.68 44 0,1% 97.04 69 2% 19.55 66 2% 2.65 59 0,1% 38.78 45 0,1% 36.89 45 0,1%",85.22,73,10%,10.0,10.68,44,"0,1%",0.1,97.04,69,2%,2.0,19.55,66,2%,2.0,2.65,59,"0,1%",0.1,38.78,45,"0,1%",0.1,36.89,45,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,16,"MCPJ 6525 06/21 6525C FIV JMP G REM 10447 85.24 74 10% 10.88 43 0,1% 89.06 70 5% 25.26 88 0,1% 1.61 76 4% 38.33 43 0,1% 37.84 43 0,1%",85.24,74,10%,10.0,10.88,43,"0,1%",0.1,89.06,70,5%,5.0,25.26,88,"0,1%",0.1,1.61,76,4%,4.0,38.33,43,"0,1%",0.1,37.84,43,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RGM 7765,11/21,OURO BRANCO FIV RG,G,GRI B6777,16,"RGM 7765 11/21 OURO BRANCO FIV RG G GRI B6777 80.44 71 28% 13.40 43 0,1% 90.22 69 5% 22.00 59 1% 1.28 57 9% 38.19 42 0,1% 38.22 42 0,1%",80.44,71,28%,28.0,13.4,43,"0,1%",0.1,90.22,69,5%,5.0,22.0,59,1%,1.0,1.28,57,9%,9.0,38.19,42,"0,1%",0.1,38.22,42,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,LCCF 910,09/20,FOSTER DA ARZ,G,REM A1811,16,"LCCF 910 09/20 FOSTER DA ARZ G REM A1811 90.69 86 2% 8.25 45 1% 95.53 84 2% 23.57 69 0,1% 1.78 63 3% 37.58 45 0,1% 38.44 45 0,1%",90.69,86,2%,2.0,8.25,45,1%,1.0,95.53,84,2%,2.0,23.57,69,"0,1%",0.1,1.78,63,3%,3.0,37.58,45,"0,1%",0.1,38.44,45,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
