breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,17,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 45.95 73 0,1% 8.58 66 0,1% 1.45 67 0,1% 56.22 66 0,1% 35.67 48 0,5%",45.95,73,"0,1%",0.1,8.58,66,"0,1%",0.1,1.45,67,"0,1%",0.1,56.22,66,"0,1%",0.1,35.67,48,"0,5%",0.5,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,SINO 3015,03/22,IRMAO SINO,G,SINO 1730,17,"SINO 3015 03/22 IRMAO SINO G SINO 1730 49.90 69 0,1% 7.55 64 0,1% 0.06 62 44% 50.78 62 0,1% 38.98 45 0,1%",49.9,69,"0,1%",0.1,7.55,64,"0,1%",0.1,0.06,62,44%,44.0,50.78,62,"0,1%",0.1,38.98,45,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,MFBN 9026,10/21,TRIJAK FIV G.SALES,G,REM A1576,17,"MFBN 9026 10/21 TRIJAK FIV G.SALES G REM A1576 42.01 67 0,1% 8.47 64 0,1% 0.55 63 8% 50.29 63 0,1% 33.97 43 2%",42.01,67,"0,1%",0.1,8.47,64,"0,1%",0.1,0.55,63,8%,8.0,50.29,63,"0,1%",0.1,33.97,43,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,MMLN 1492,08/22,YURI FIV CATARINA,G,REMP 816,17,"MMLN 1492 08/22 YURI FIV CATARINA G REMP 816 47.96 66 0,1% 5.15 64 2% 1.69 63 0,1% 48.97 63 0,1% 36.63 47 0,1%",47.96,66,"0,1%",0.1,5.15,64,2%,2.0,1.69,63,"0,1%",0.1,48.97,63,"0,1%",0.1,36.63,47,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,XRGM 4865,08/22,LANDROVER DA XARAES,G,XRGM 4111,17,"XRGM 4865 08/22 LANDROVER DA XARAES G XRGM 4111 38.30 66 1% 7.62 62 0,1% 1.26 61 0,5% 48.30 61 0,1% 39.84 41 0,1%",38.3,66,1%,1.0,7.62,62,"0,1%",0.1,1.26,61,"0,5%",0.5,48.3,61,"0,1%",0.1,39.84,41,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,SGN 1391,12/18,LUMIAR FIV DO CRISPIM,G,REM 6447,17,"SGN 1391 12/18 LUMIAR FIV DO CRISPIM G REM 6447 36.60 72 1% 8.73 65 0,1% 0.66 64 5% 48.11 64 0,1% 40.29 48 0,1%",36.6,72,1%,1.0,8.73,65,"0,1%",0.1,0.66,64,5%,5.0,48.11,64,"0,1%",0.1,40.29,48,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,17,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 45.29 71 0,1% 7.01 71 0,1% 0.46 69 10% 48.00 69 0,1% 38.08 49 0,1%",45.29,71,"0,1%",0.1,7.01,71,"0,1%",0.1,0.46,69,10%,10.0,48.0,69,"0,1%",0.1,38.08,49,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,MCPJ 8108,07/22,8108S FIV JMP,G,REM A1576,17,"MCPJ 8108 07/22 8108S FIV JMP G REM A1576 38.77 68 0,5% 7.58 64 0,1% 0.80 62 4% 46.84 62 0,1% 41.29 48 0,1%",38.77,68,"0,5%",0.5,7.58,64,"0,1%",0.1,0.8,62,4%,4.0,46.84,62,"0,1%",0.1,41.29,48,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,17,"EPCF 4353 08/20 ROLEX FIV DA TERRA BR G REM A1811 37.22 89 1% 7.47 91 0,1% 1.13 88 1% 46.75 88 0,1% 34.75 49 1%",37.22,89,1%,1.0,7.47,91,"0,1%",0.1,1.13,88,1%,1.0,46.75,88,"0,1%",0.1,34.75,49,1%,1.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,MDLO 2366,09/21,I2366 DA MDLO,G,SINO 1730,17,"MDLO 2366 09/21 I2366 DA MDLO G SINO 1730 35.56 68 2% 7.57 62 0,1% 1.17 63 1% 46.19 62 0,1% 35.57 45 0,5%",35.56,68,2%,2.0,7.57,62,"0,1%",0.1,1.17,63,1%,1.0,46.19,62,"0,1%",0.1,35.57,45,"0,5%",0.5,"P450,AOL,ACAB,MGTe_RE,MGTe"
