breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTe_F1dep,MGTe_F1ac,MGTe_F1top,MGTe_F1top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,18,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 45.95 73 0,1% -0.130 50 3% 8.58 66 0,1% 1.45 67 0,1% 0.30 63 0,1% 48.73 50 0,1% 35.67 48 0,5%",45.95,73,"0,1%",0.1,-0.13,50,3%,3.0,8.58,66,"0,1%",0.1,1.45,67,"0,1%",0.1,0.3,63,"0,1%",0.1,48.73,50,"0,1%",0.1,35.67,48,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,MMLN 1492,08/22,YURI FIV CATARINA,G,REMP 816,18,"MMLN 1492 08/22 YURI FIV CATARINA G REMP 816 47.96 66 0,1% -0.069 41 24% 5.15 64 2% 1.69 63 0,1% 0.21 58 1% 41.84 41 0,1% 36.63 47 0,1%",47.96,66,"0,1%",0.1,-0.069,41,24%,24.0,5.15,64,2%,2.0,1.69,63,"0,1%",0.1,0.21,58,1%,1.0,41.84,41,"0,1%",0.1,36.63,47,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,GFC 1075,11/20,NERO DO MORRO,G,REM A1576,18,"GFC 1075 11/20 NERO DO MORRO G REM A1576 30.63 84 4% -0.134 42 2% 5.14 81 3% 1.57 78 0,1% 0.26 78 0,5% 40.84 42 0,1% 30.92 44 3%",30.63,84,4%,4.0,-0.134,42,2%,2.0,5.14,81,3%,3.0,1.57,78,"0,1%",0.1,0.26,78,"0,5%",0.5,40.84,42,"0,1%",0.1,30.92,44,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,18,"FANO 3294 12/20 ELO DA AGRONOVA G PAU 2753 30.13 84 5% -0.115 58 5% 8.02 81 0,1% 1.24 79 0,5% 0.18 82 2% 39.76 58 0,1% 31.70 49 3%",30.13,84,5%,5.0,-0.115,58,5%,5.0,8.02,81,"0,1%",0.1,1.24,79,"0,5%",0.5,0.18,82,2%,2.0,39.76,58,"0,1%",0.1,31.7,49,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FLPE 8541,10/21,ANGICO FIV DA COMETA,G,REMP 816,18,"FLPE 8541 10/21 ANGICO FIV DA COMETA G REMP 816 37.51 71 1% -0.072 43 22% 5.58 66 2% 1.37 65 0,5% 0.30 59 0,1% 39.29 43 0,1% 32.03 46 3%",37.51,71,1%,1.0,-0.072,43,22%,22.0,5.58,66,2%,2.0,1.37,65,"0,5%",0.5,0.3,59,"0,1%",0.1,39.29,43,"0,1%",0.1,32.03,46,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,18,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 35.48 70 2% -0.121 43 4% 6.32 67 0,5% 1.24 65 0,5% 0.23 62 0,5% 39.10 43 0,1% 31.11 45 3%",35.48,70,2%,2.0,-0.121,43,4%,4.0,6.32,67,"0,5%",0.5,1.24,65,"0,5%",0.5,0.23,62,"0,5%",0.5,39.1,43,"0,1%",0.1,31.11,45,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,18,"EPCF 4353 08/20 ROLEX FIV DA TERRA BR G REM A1811 37.22 89 1% -0.090 45 11% 7.47 91 0,1% 1.13 88 1% 0.22 90 1% 38.79 45 0,1% 34.75 49 1%",37.22,89,1%,1.0,-0.09,45,11%,11.0,7.47,91,"0,1%",0.1,1.13,88,1%,1.0,0.22,90,1%,1.0,38.79,45,"0,1%",0.1,34.75,49,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,REMC A4890,11/21,REM4890L GENETICA ADI,G,REMP 816,18,"REMC A4890 11/21 REM4890L GENETICA ADI G REMP 816 35.94 71 2% -0.057 45 31% 5.10 66 3% 1.58 65 0,1% 0.16 63 3% 37.06 45 0,1% 29.84 49 4%",35.94,71,2%,2.0,-0.057,45,31%,31.0,5.1,66,3%,3.0,1.58,65,"0,1%",0.1,0.16,63,3%,3.0,37.06,45,"0,1%",0.1,29.84,49,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,RDM A5458,07/21,A5458 MAT. (GUAPORE,M,G REMP 816,18,"RDM A5458 07/21 A5458 MAT. (GUAPORE M G REMP 816 39.37 71 0,5% -0.082 49 16% 4.91 66 3% 1.29 66 0,5% 0.25 62 0,5% 36.96 49 0,1% 33.33 36 2%",39.37,71,"0,5%",0.5,-0.082,49,16%,16.0,4.91,66,3%,3.0,1.29,66,"0,5%",0.5,0.25,62,"0,5%",0.5,36.96,49,"0,1%",0.1,33.33,36,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B7502,09/21,ELO FIV DA EAO (B7502,G,REM A1936,18,"EAO B7502 09/21 ELO FIV DA EAO (B7502 G REM A1936 33.91 69 2% -0.031 51 48% 4.91 68 3% 1.43 66 0,1% 0.30 64 0,1% 36.80 51 0,1% 33.15 47 2%",33.91,69,2%,2.0,-0.031,51,48%,48.0,4.91,68,3%,3.0,1.43,66,"0,1%",0.1,0.3,64,"0,1%",0.1,36.8,51,"0,1%",0.1,33.15,47,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
