breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTe_COdep,MGTe_COac,MGTe_COtop,MGTe_COtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,19,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 45.95 73 0,1% -0.130 50 3% 8.58 66 0,1% 1.45 67 0,1% 0.30 63 0,1% 48.78 50 0,1% 35.67 48 0,5%",45.95,73,"0,1%",0.1,-0.13,50,3%,3.0,8.58,66,"0,1%",0.1,1.45,67,"0,1%",0.1,0.3,63,"0,1%",0.1,48.78,50,"0,1%",0.1,35.67,48,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,19,"FANO 3294 12/20 ELO DA AGRONOVA G PAU 2753 30.13 84 5% -0.115 58 5% 8.02 81 0,1% 1.24 79 0,5% 0.18 82 2% 40.70 58 0,1% 31.70 49 3%",30.13,84,5%,5.0,-0.115,58,5%,5.0,8.02,81,"0,1%",0.1,1.24,79,"0,5%",0.5,0.18,82,2%,2.0,40.7,58,"0,1%",0.1,31.7,49,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,19,"EPCF 4353 08/20 ROLEX FIV DA TERRA BR G REM A1811 37.22 89 1% -0.090 45 11% 7.47 91 0,1% 1.13 88 1% 0.22 90 1% 39.34 45 0,1% 34.75 49 1%",37.22,89,1%,1.0,-0.09,45,11%,11.0,7.47,91,"0,1%",0.1,1.13,88,1%,1.0,0.22,90,1%,1.0,39.34,45,"0,1%",0.1,34.75,49,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,MMLN 1492,08/22,YURI FIV CATARINA,G,REMP 816,19,"MMLN 1492 08/22 YURI FIV CATARINA G REMP 816 47.96 66 0,1% -0.069 41 24% 5.15 64 2% 1.69 63 0,1% 0.21 58 1% 39.28 41 0,1% 36.63 47 0,1%",47.96,66,"0,1%",0.1,-0.069,41,24%,24.0,5.15,64,2%,2.0,1.69,63,"0,1%",0.1,0.21,58,1%,1.0,39.28,41,"0,1%",0.1,36.63,47,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,19,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 35.48 70 2% -0.121 43 4% 6.32 67 0,5% 1.24 65 0,5% 0.23 62 0,5% 38.74 43 0,1% 31.11 45 3%",35.48,70,2%,2.0,-0.121,43,4%,4.0,6.32,67,"0,5%",0.5,1.24,65,"0,5%",0.5,0.23,62,"0,5%",0.5,38.74,43,"0,1%",0.1,31.11,45,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,GFC 1075,11/20,NERO DO MORRO,G,REM A1576,19,"GFC 1075 11/20 NERO DO MORRO G REM A1576 30.63 84 4% -0.134 42 2% 5.14 81 3% 1.57 78 0,1% 0.26 78 0,5% 38.73 42 0,1% 30.92 44 3%",30.63,84,4%,4.0,-0.134,42,2%,2.0,5.14,81,3%,3.0,1.57,78,"0,1%",0.1,0.26,78,"0,5%",0.5,38.73,42,"0,1%",0.1,30.92,44,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FLPE 8541,10/21,ANGICO FIV DA COMETA,G,REMP 816,19,"FLPE 8541 10/21 ANGICO FIV DA COMETA G REMP 816 37.51 71 1% -0.072 43 22% 5.58 66 2% 1.37 65 0,5% 0.30 59 0,1% 37.41 43 0,1% 32.03 46 3%",37.51,71,1%,1.0,-0.072,43,22%,22.0,5.58,66,2%,2.0,1.37,65,"0,5%",0.5,0.3,59,"0,1%",0.1,37.41,43,"0,1%",0.1,32.03,46,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,HORA 3948,07/19,ITO TE DA HORA,G,REMC 5326,19,"HORA 3948 07/19 ITO TE DA HORA G REMC 5326 25.50 76 10% -0.240 50 0,1% 5.82 69 1% 0.78 69 4% 0.23 63 0,5% 37.04 50 0,1% 30.20 51 4%",25.5,76,10%,10.0,-0.24,50,"0,1%",0.1,5.82,69,1%,1.0,0.78,69,4%,4.0,0.23,63,"0,5%",0.5,37.04,50,"0,1%",0.1,30.2,51,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,19,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 45.29 71 0,1% -0.190 59 0,1% 7.01 71 0,1% 0.46 69 10% 0.11 68 8% 36.83 59 0,1% 38.08 49 0,1%",45.29,71,"0,1%",0.1,-0.19,59,"0,1%",0.1,7.01,71,"0,1%",0.1,0.46,69,10%,10.0,0.11,68,8%,8.0,36.83,59,"0,1%",0.1,38.08,49,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,19,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 38.31 69 1% -0.070 43 23% 6.86 63 0,1% 1.00 63 2% 0.25 58 0,5% 36.80 43 0,1% 36.50 46 0,1%",38.31,69,1%,1.0,-0.07,43,23%,23.0,6.86,63,"0,1%",0.1,1.0,63,2%,2.0,0.25,58,"0,5%",0.5,36.8,43,"0,1%",0.1,36.5,46,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,RDM A3560,07/20,FEDERAL MAT.,G,REMC 8332,19,"RDM A3560 07/20 FEDERAL MAT. G REMC 8332 36.49 67 1% -0.280 48 0,1% 6.07 65 1% 0.19 64 22% 0.20 61 2% 36.01 48 0,1% 31.92 47 3%",36.49,67,1%,1.0,-0.28,48,"0,1%",0.1,6.07,65,1%,1.0,0.19,64,22%,22.0,0.2,61,2%,2.0,36.01,48,"0,1%",0.1,31.92,47,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 2491,11/19,DOUSE DA AGRONOVA,G,REMC A331,19,"FANO 2491 11/19 DOUSE DA AGRONOVA G REMC A331 30.76 79 4% -0.150 69 1% 7.98 80 0,1% 0.53 77 8% 0.13 77 5% 35.81 69 0,1% 35.29 51 0,5%",30.76,79,4%,4.0,-0.15,69,1%,1.0,7.98,80,"0,1%",0.1,0.53,77,8%,8.0,0.13,77,5%,5.0,35.81,69,"0,1%",0.1,35.29,51,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,JAPA 11028,12/21,11028 FIV JAPARANDUBA,G,SINO 1730,19,"JAPA 11028 12/21 11028 FIV JAPARANDUBA G SINO 1730 37.69 69 1% -0.183 48 0,5% 7.04 66 0,1% 0.39 65 12% 0.17 61 3% 35.65 48 0,1% 34.55 50 1%",37.69,69,1%,1.0,-0.183,48,"0,5%",0.5,7.04,66,"0,1%",0.1,0.39,65,12%,12.0,0.17,61,3%,3.0,35.65,48,"0,1%",0.1,34.55,50,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,RDM A5458,07/21,A5458 MAT. (GUAPORE,M,G REMP 816,19,"RDM A5458 07/21 A5458 MAT. (GUAPORE M G REMP 816 39.37 71 0,5% -0.082 49 16% 4.91 66 3% 1.29 66 0,5% 0.25 62 0,5% 35.25 49 0,1% 33.33 36 2%",39.37,71,"0,5%",0.5,-0.082,49,16%,16.0,4.91,66,3%,3.0,1.29,66,"0,5%",0.5,0.25,62,"0,5%",0.5,35.25,49,"0,1%",0.1,33.33,36,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,REMC A4890,11/21,REM4890L GENETICA ADI,G,REMP 816,19,"REMC A4890 11/21 REM4890L GENETICA ADI G REMP 816 35.94 71 2% -0.057 45 31% 5.10 66 3% 1.58 65 0,1% 0.16 63 3% 35.01 45 0,1% 29.84 49 4%",35.94,71,2%,2.0,-0.057,45,31%,31.0,5.1,66,3%,3.0,1.58,65,"0,1%",0.1,0.16,63,3%,3.0,35.01,45,"0,1%",0.1,29.84,49,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 2762,01/20,DIPLOMATA DA AGRONOVA,G,REM A7,19,"FANO 2762 01/20 DIPLOMATA DA AGRONOVA G REM A7 33.52 97 3% -0.130 89 3% 5.50 96 2% 1.21 97 1% 0.11 95 8% 34.82 89 0,1% 32.98 82 2%",33.52,97,3%,3.0,-0.13,89,3%,3.0,5.5,96,2%,2.0,1.21,97,1%,1.0,0.11,95,8%,8.0,34.82,89,"0,1%",0.1,32.98,82,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,BOA A3238,06/22,QUARTZO FIV TERRA BOA,G,REM A1936,19,"BOA A3238 06/22 QUARTZO FIV TERRA BOA G REM A1936 29.04 68 6% -0.160 40 1% 4.54 61 4% 1.39 62 0,1% 0.10 57 9% 34.40 40 0,1% 30.13 45 4%",29.04,68,6%,6.0,-0.16,40,1%,1.0,4.54,61,4%,4.0,1.39,62,"0,1%",0.1,0.1,57,9%,9.0,34.4,40,"0,1%",0.1,30.13,45,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,MFBN 9026,10/21,TRIJAK FIV G.SALES,G,REM A1576,19,"MFBN 9026 10/21 TRIJAK FIV G.SALES G REM A1576 42.01 67 0,1% -0.080 43 17% 8.47 64 0,1% 0.55 63 8% 0.01 57 44% 34.36 43 0,1% 33.97 43 2%",42.01,67,"0,1%",0.1,-0.08,43,17%,17.0,8.47,64,"0,1%",0.1,0.55,63,8%,8.0,0.01,57,44%,44.0,34.36,43,"0,1%",0.1,33.97,43,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,ANP 1101,10/21,CAPITÃƒO DA ANP,G,REMP 816,19,"ANP 1101 10/21 CAPITÃƒO DA ANP G REMP 816 34.01 68 2% -0.023 42 53% 6.46 62 0,5% 1.22 62 1% 0.20 59 2% 34.19 42 0,1% 30.19 30 4%",34.01,68,2%,2.0,-0.023,42,53%,53.0,6.46,62,"0,5%",0.5,1.22,62,1%,1.0,0.2,59,2%,2.0,34.19,42,"0,1%",0.1,30.19,30,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
