breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTe_COdep,MGTe_COac,MGTe_COtop,MGTe_COtop_pct,MGTe_F1dep,MGTe_F1ac,MGTe_F1top,MGTe_F1top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,20,"SINO 2878 10/21 HERON SINO G RDM A2162 41.54 41 0,1% 37.83 64 2% 23.11 41 5% 23.13 41 4% 40.36 41 0,1%",41.54,41,"0,1%",0.1,37.83,64,2%,2.0,23.11,41,5%,5.0,23.13,41,4%,4.0,40.36,41,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,20,"LCCF 1153 08/21 GRAN RESERVA DA ARZ G REMP 816 39.80 41 0,1% 41.59 63 0,5% 26.00 39 3% 27.37 39 2% 40.25 41 0,1%",39.8,41,"0,1%",0.1,41.59,63,"0,5%",0.5,26.0,39,3%,3.0,27.37,39,2%,2.0,40.25,41,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,SINO 3015,03/22,IRMAO SINO,G,SINO 1730,20,"SINO 3015 03/22 IRMAO SINO G SINO 1730 33.94 45 1% 50.78 62 0,1% 30.55 48 1% 25.13 48 3% 38.98 45 0,1%",33.94,45,1%,1.0,50.78,62,"0,1%",0.1,30.55,48,1%,1.0,25.13,48,3%,3.0,38.98,45,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,LCCF 910,09/20,FOSTER DA ARZ,G,REM A1811,20,"LCCF 910 09/20 FOSTER DA ARZ G REM A1811 37.58 45 0,1% 40.55 71 1% 26.51 39 2% 25.79 39 3% 38.44 45 0,1%",37.58,45,"0,1%",0.1,40.55,71,1%,1.0,26.51,39,2%,2.0,25.79,39,3%,3.0,38.44,45,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RGM 7765,11/21,OURO BRANCO FIV RG,G,GRI B6777,20,"RGM 7765 11/21 OURO BRANCO FIV RG G GRI B6777 38.19 42 0,1% 38.49 63 2% 28.48 33 2% 26.94 33 2% 38.22 42 0,1%",38.19,42,"0,1%",0.1,38.49,63,2%,2.0,28.48,33,2%,2.0,26.94,33,2%,2.0,38.22,42,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,20,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 33.86 49 1% 48.00 69 0,1% 36.83 59 0,1% 33.38 59 0,1% 38.08 49 0,1%",33.86,49,1%,1.0,48.0,69,"0,1%",0.1,36.83,59,"0,1%",0.1,33.38,59,"0,1%",0.1,38.08,49,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,20,"MCPJ 6525 06/21 6525C FIV JMP G REM 10447 38.33 43 0,1% 36.85 61 2% 22.95 37 5% 22.73 37 4% 37.84 43 0,1%",38.33,43,"0,1%",0.1,36.85,61,2%,2.0,22.95,37,5%,5.0,22.73,37,4%,4.0,37.84,43,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RDM A4814,10/20,FALCAO MAT.,G,SINO 1647,20,"RDM A4814 10/20 FALCAO MAT. G SINO 1647 34.89 42 0,5% 44.86 68 0,1% 24.80 56 3% 24.83 56 3% 37.84 42 0,1%",34.89,42,"0,5%",0.5,44.86,68,"0,1%",0.1,24.8,56,3%,3.0,24.83,56,3%,3.0,37.84,42,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,20,"FANO 2995 09/20 ESTUDANTE DA AGRONOVA G FANO 1509 35.12 47 0,5% 43.66 70 0,1% 24.67 50 3% 22.09 50 5% 37.68 47 0,1%",35.12,47,"0,5%",0.5,43.66,70,"0,1%",0.1,24.67,50,3%,3.0,22.09,50,5%,5.0,37.68,47,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,IPB 7475,02/22,7475 DA IPB,G,REM 10447,20,"IPB 7475 02/22 7475 DA IPB G REM 10447 35.69 48 0,5% 41.40 61 0,5% 30.95 42 0,5% 31.01 42 0,5% 37.41 48 0,1%",35.69,48,"0,5%",0.5,41.4,61,"0,5%",0.5,30.95,42,"0,5%",0.5,31.01,42,"0,5%",0.5,37.41,48,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
