breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,MNS 10509,07/20,D50 DA ALO BRASIL,G,FPO 2683,21,"MNS 10509 07/20 D50 DA ALO BRASIL G FPO 2683 -1.37 43 1% 95.75 84 0,1% 4.15 46 6% 84.52 80 10% 1.72 83 3% 23 0 28.68 46 5%",-1.37,43,1%,1.0,95.75,84,"0,1%",0.1,4.15,46,6%,6.0,84.52,80,10%,10.0,1.72,83,3%,3.0,28.68,46,5%,5.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,REM 10846,09/19,REM INTER GEN. ADT,G,REM A192,21,"REM 10846 09/19 REM INTER GEN. ADT G REM A192 -1.42 53 1% 94.77 87 0,5% 2.64 53 19% 98.31 80 2% 1.62 83 4% 36 0 31.14 53 3%",-1.42,53,1%,1.0,94.77,87,"0,5%",0.5,2.64,53,19%,19.0,98.31,80,2%,2.0,1.62,83,4%,4.0,31.14,53,3%,3.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,CSCC 5339,12/14,POKEMOM FIV DE NAVIRA,G,REMC 5326,21,"CSCC 5339 12/14 POKEMOM FIV DE NAVIRA G REMC 5326 -1.89 65 0,1% 94.65 90 0,5% 2.63 71 19% 91.81 85 4% 0.94 84 16% 87 0 22.41 71 14%",-1.89,65,"0,1%",0.1,94.65,90,"0,5%",0.5,2.63,71,19%,19.0,91.81,85,4%,4.0,0.94,84,16%,16.0,22.41,71,14%,14.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,REMC 7592,11/13,REM CAMPO GRANDE,,REM 5589,21,"REMC 7592 11/13 REM CAMPO GRANDE REM 5589 -1.21 75 3% 94.64 83 0,5% 2.20 68 26% 80.66 79 15% 1.08 88 13% 426 0 20.48 40 18%",-1.21,75,3%,3.0,94.64,83,"0,5%",0.5,2.2,68,26%,26.0,80.66,79,15%,15.0,1.08,88,13%,13.0,20.48,40,18%,18.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,EPCF 2954,09/18,2954 FIV DA TERRA BRA,G,REMC 9094,21,"EPCF 2954 09/18 2954 FIV DA TERRA BRA G REMC 9094 -1.52 47 0,1% 94.60 85 0,5% 1.45 48 44% 88.25 83 6% 1.49 68 6% 11 0 22.69 48 14%",-1.52,47,"0,1%",0.1,94.6,85,"0,5%",0.5,1.45,48,44%,44.0,88.25,83,6%,6.0,1.49,68,6%,6.0,22.69,48,14%,14.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,REM A2103,10/17,REM GUAPORE,G,REM 7259,21,"REM A2103 10/17 REM GUAPORE G REM 7259 -1.15 57 5% 94.27 86 0,5% 1.84 60 34% 87.64 82 7% 1.17 81 11% 34 0 22.98 60 13%",-1.15,57,5%,5.0,94.27,86,"0,5%",0.5,1.84,60,34%,34.0,87.64,82,7%,7.0,1.17,81,11%,11.0,22.98,60,13%,13.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,RDM 8999,08/16,BALBEC MAT.,G,RDM 7045,21,"RDM 8999 08/16 BALBEC MAT. G RDM 7045 -1.03 71 10% 94.25 88 0,5% 1.93 72 32% 84.76 82 9% 0.62 91 27% 81 0 20.95 72 17%",-1.03,71,10%,10.0,94.25,88,"0,5%",0.5,1.93,72,32%,32.0,84.76,82,9%,9.0,0.62,91,27%,27.0,20.95,72,17%,17.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,REM 7743,09/12,REM BLOCK,G,REM 4677,21,"REM 7743 09/12 REM BLOCK G REM 4677 -1.34 72 2% 94.12 89 0,5% 3.85 75 8% 86.16 86 8% 0.78 88 21% 56 0 22.42 75 14%",-1.34,72,2%,2.0,94.12,89,"0,5%",0.5,3.85,75,8%,8.0,86.16,86,8%,8.0,0.78,88,21%,21.0,22.42,75,14%,14.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,COL 24926,11/16,QUICKMAN FIV COL,G,REMC 5326,21,"COL 24926 11/16 QUICKMAN FIV COL G REMC 5326 -1.25 67 3% 93.52 77 0,5% 3.65 68 9% 97.97 71 2% 1.52 87 5% 43 0 27.96 68 6%",-1.25,67,3%,3.0,93.52,77,"0,5%",0.5,3.65,68,9%,9.0,97.97,71,2%,2.0,1.52,87,5%,5.0,27.96,68,6%,6.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,JHVM 18371,08/19,FORD FIV CAMPARINO,G,REMC 5326,21,JHVM 18371 08/19 FORD FIV CAMPARINO G REMC 5326 -1.35 64 1% 93.22 85 1% 3.05 60 14% 89.59 81 5% 0.97 92 16% 46 0 27.70 60 6%,-1.35,64,1%,1.0,93.22,85,1%,1.0,3.05,60,14%,14.0,89.59,81,5%,5.0,0.97,92,16%,16.0,27.7,60,6%,6.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,CSCN 15658,08/16,NAVIRAI FIV SURREAL,G,REMC 5326,21,CSCN 15658 08/16 NAVIRAI FIV SURREAL G REMC 5326 -1.35 63 1% 93.12 87 1% 1.51 66 42% 91.14 84 4% 1.14 84 11% 10 0 23.81 66 12%,-1.35,63,1%,1.0,93.12,87,1%,1.0,1.51,66,42%,42.0,91.14,84,4%,4.0,1.14,84,11%,11.0,23.81,66,12%,12.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,API 3787,09/16,ARMADOR FIV DO API,G,REMC 5326,21,API 3787 09/16 ARMADOR FIV DO API G REMC 5326 -1.27 52 2% 93.10 86 1% 2.03 55 30% 94.98 84 3% 1.47 73 6% 18 0 26.52 55 8%,-1.27,52,2%,2.0,93.1,86,1%,1.0,2.03,55,30%,30.0,94.98,84,3%,3.0,1.47,73,6%,6.0,26.52,55,8%,8.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,BRMG 3862,10/19,BRASIL DA BEABISA,G,FPO 2683,21,"BRMG 3862 10/19 BRASIL DA BEABISA G FPO 2683 -1.18 56 4% 93.10 85 1% 2.65 56 19% 95.18 81 2% 2.38 80 0,1% 16 0 35.49 56 0,5%",-1.18,56,4%,4.0,93.1,85,1%,1.0,2.65,56,19%,19.0,95.18,81,2%,2.0,2.38,80,"0,1%",0.1,35.49,56,"0,5%",0.5,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,RDM 5102,08/11,RUBAIAH MAT.,G,L4810,21,RDM 5102 08/11 RUBAIAH MAT. G L4810 -1.37 68 1% 93.05 79 1% 2.32 73 24% 85.50 78 9% 0.66 85 25% 85 0 21.49 73 16%,-1.37,68,1%,1.0,93.05,79,1%,1.0,2.32,73,24%,24.0,85.5,78,9%,9.0,0.66,85,25%,25.0,21.49,73,16%,16.0,"IPP,3P,MP120,STAY,PE365,MGTe"
Nelore,MGLP 592,10/16,BAETI 38 FIV DA BACUR,G,REMC 5326,21,MGLP 592 10/16 BAETI 38 FIV DA BACUR G REMC 5326 -1.36 49 1% 92.81 87 1% 1.35 54 48% 90.80 83 4% 1.07 74 13% 18 0 25.71 44 9%,-1.36,49,1%,1.0,92.81,87,1%,1.0,1.35,54,48%,48.0,90.8,83,4%,4.0,1.07,74,13%,13.0,25.71,44,9%,9.0,"IPP,3P,MP120,STAY,PE365,MGTe"
