breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,RDM 6022,09/12,SARTRE MAT.,G,LBMN C8288,22,RDM 6022 09/12 SARTRE MAT. G LBMN C8288 -1.18 52 4% 92.01 87 1% 2.56 53 20% 98.23 84 2% 25.33 82 10% 35 1 24.96 53 10%,-1.18,52,4%,4.0,92.01,87,1%,1.0,2.56,53,20%,20.0,98.23,84,2%,2.0,25.33,82,10%,10.0,24.96,53,10%,10.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,LBMN D4685,09/09,D4685 DA MN (CAMPEÃƒO,G,LBMN D1484,22,LBMN D4685 09/09 D4685 DA MN (CAMPEÃƒO G LBMN D1484 -0.92 91 17% 82.60 96 19% 5.90 95 1% 97.30 96 2% 16.23 98 28% 4293 285 23.02 95 13%,-0.92,91,17%,17.0,82.6,96,19%,19.0,5.9,95,1%,1.0,97.3,96,2%,2.0,16.23,98,28%,28.0,23.02,95,13%,13.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,EAO A5084,09/16,NITRO FIV DA EAO,G,REMC 5326,22,EAO A5084 09/16 NITRO FIV DA EAO G REMC 5326 -1.09 67 7% 79.56 87 32% 3.09 70 14% 96.92 85 2% 21.73 92 16% 62 6 25.54 70 9%,-1.09,67,7%,7.0,79.56,87,32%,32.0,3.09,70,14%,14.0,96.92,85,2%,2.0,21.73,92,16%,16.0,25.54,70,9%,9.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REM A149,09/15,REM EMBAIXADOR,G,REMC 5326,22,REM A149 09/15 REM EMBAIXADOR G REMC 5326 -1.11 76 6% 90.04 90 3% 2.76 76 18% 95.65 83 2% 25.80 97 10% 171 34 28.16 76 6%,-1.11,76,6%,6.0,90.04,90,3%,3.0,2.76,76,18%,18.0,95.65,83,2%,2.0,25.8,97,10%,10.0,28.16,76,6%,6.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,EAO A2958,09/15,UNICO FIV DA EAO,G,LBMN D4685,22,EAO A2958 09/15 UNICO FIV DA EAO G LBMN D4685 -0.75 52 32% 80.46 86 28% 5.85 56 1% 94.94 82 3% 16.27 86 28% 53 10 23.17 56 13%,-0.75,52,32%,32.0,80.46,86,28%,28.0,5.85,56,1%,1.0,94.94,82,3%,3.0,16.27,86,28%,28.0,23.17,56,13%,13.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REMC A223,08/16,REM FORMOSO,G,REMC 5326,22,REMC A223 08/16 REM FORMOSO G REMC 5326 -1.17 75 4% 90.96 87 2% 2.73 74 18% 94.66 82 3% 30.33 94 5% 264 36 29.78 74 4%,-1.17,75,4%,4.0,90.96,87,2%,2.0,2.73,74,18%,18.0,94.66,82,3%,3.0,30.33,94,5%,5.0,29.78,74,4%,4.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,BRMG 2299,08/15,ZAPP BEABISA,G,REMC 5326,22,BRMG 2299 08/15 ZAPP BEABISA G REMC 5326 -1.25 86 3% 87.34 91 6% 5.05 87 3% 92.11 90 4% 21.95 99 16% 701 77 27.26 87 7%,-1.25,86,3%,3.0,87.34,91,6%,6.0,5.05,87,3%,3.0,92.11,90,4%,4.0,21.95,99,16%,16.0,27.26,87,7%,7.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,AZAN 1910,07/15,NEMO DA BELA,G,COL 20199,22,AZAN 1910 07/15 NEMO DA BELA G COL 20199 -0.94 47 15% 88.63 74 4% 3.41 47 11% 92.02 69 4% 22.66 75 14% 34 7 23.65 47 12%,-0.94,47,15%,15.0,88.63,74,4%,4.0,3.41,47,11%,11.0,92.02,69,4%,4.0,22.66,75,14%,14.0,23.65,47,12%,12.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,CSCC 5339,12/14,POKEMOM FIV DE NAVIRA,G,REMC 5326,22,"CSCC 5339 12/14 POKEMOM FIV DE NAVIRA G REMC 5326 -1.89 65 0,1% 94.65 90 0,5% 2.63 71 19% 91.81 85 4% 16.32 91 27% 124 22 22.41 71 14%",-1.89,65,"0,1%",0.1,94.65,90,"0,5%",0.5,2.63,71,19%,19.0,91.81,85,4%,4.0,16.32,91,27%,27.0,22.41,71,14%,14.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REM 8933,10/13,REM CALDONEGRO,G,REM 5589,22,REM 8933 10/13 REM CALDONEGRO G REM 5589 -1.19 89 4% 92.41 95 1% 4.39 91 5% 91.80 91 4% 32.33 99 3% 1687 182 29.40 91 5%,-1.19,89,4%,4.0,92.41,95,1%,1.0,4.39,91,5%,5.0,91.8,91,4%,4.0,32.33,99,3%,3.0,29.4,91,5%,5.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REMC 9828,10/15,REM EL TORO,G,REM 5531,22,REMC 9828 10/15 REM EL TORO G REM 5531 -1.03 79 10% 92.15 91 1% 3.41 78 11% 91.44 81 4% 14.82 98 32% 141 25 22.83 78 13%,-1.03,79,10%,10.0,92.15,91,1%,1.0,3.41,78,11%,11.0,91.44,81,4%,4.0,14.82,98,32%,32.0,22.83,78,13%,13.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,EAO A3671,11/15,URANIO DA EAO,G,REM 5531,22,EAO A3671 11/15 URANIO DA EAO G REM 5531 -1.00 76 11% 77.23 86 43% 3.46 74 10% 91.32 84 4% 24.06 94 12% 89 9 23.71 74 12%,-1.0,76,11%,11.0,77.23,86,43%,43.0,3.46,74,10%,10.0,91.32,84,4%,4.0,24.06,94,12%,12.0,23.71,74,12%,12.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,LBMN D6829,10/11,EROS DA MN,G,LBMN D1564,22,LBMN D6829 10/11 EROS DA MN G LBMN D1564 -1.24 44 3% 86.06 74 8% 2.96 49 15% 91.15 73 4% 17.79 74 24% 31 3 21.33 49 16%,-1.24,44,3%,3.0,86.06,74,8%,8.0,2.96,49,15%,15.0,91.15,73,4%,4.0,17.79,74,24%,24.0,21.33,49,16%,16.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,CSCN 15658,08/16,NAVIRAI FIV SURREAL,G,REMC 5326,22,CSCN 15658 08/16 NAVIRAI FIV SURREAL G REMC 5326 -1.35 63 1% 93.12 87 1% 1.51 66 42% 91.14 84 4% 19.29 90 21% 25 5 23.81 66 12%,-1.35,63,1%,1.0,93.12,87,1%,1.0,1.51,66,42%,42.0,91.14,84,4%,4.0,19.29,90,21%,21.0,23.81,66,12%,12.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,GRI B5012,09/15,B5012 FIV DA S.NICE,G,REMC 3462,22,GRI B5012 09/15 B5012 FIV DA S.NICE G REMC 3462 -0.67 57 41% 78.69 87 36% 3.17 59 13% 90.63 84 4% 21.47 82 16% 27 2 23.36 59 12%,-0.67,57,41%,41.0,78.69,87,36%,36.0,3.17,59,13%,13.0,90.63,84,4%,4.0,21.47,82,16%,16.0,23.36,59,12%,12.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,FVC 11452,09/16,EGITO FVC,G,FVC 8596,22,FVC 11452 09/16 EGITO FVC G FVC 8596 -1.04 66 9% 85.20 86 10% 2.21 71 26% 89.87 80 5% 21.47 93 16% 97 26 20.75 71 17%,-1.04,66,9%,9.0,85.2,86,10%,10.0,2.21,71,26%,26.0,89.87,80,5%,5.0,21.47,93,16%,16.0,20.75,71,17%,17.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REMC 9891,10/15,REM ESCOLA II,G,REM 4677,22,REMC 9891 10/15 REM ESCOLA II G REM 4677 -1.06 53 8% 87.28 86 6% 3.40 58 11% 89.82 81 5% 20.13 84 19% 26 5 22.98 58 13%,-1.06,53,8%,8.0,87.28,86,6%,6.0,3.4,58,11%,11.0,89.82,81,5%,5.0,20.13,84,19%,19.0,22.98,58,13%,13.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REM A883,08/16,REM FANTASTICO,G,REM 6447,22,REM A883 08/16 REM FANTASTICO G REM 6447 -0.97 60 13% 89.08 89 3% 5.58 64 2% 89.72 82 5% 18.13 91 23% 84 22 25.32 64 9%,-0.97,60,13%,13.0,89.08,89,3%,3.0,5.58,64,2%,2.0,89.72,82,5%,5.0,18.13,91,23%,23.0,25.32,64,9%,9.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,CSCN 14735,08/15,NAVIRAI ROE FIV,G,REMC 5326,22,CSCN 14735 08/15 NAVIRAI ROE FIV G REMC 5326 -1.20 61 4% 78.60 87 37% 2.25 64 25% 89.61 84 5% 18.16 90 23% 89 10 22.22 64 14%,-1.2,61,4%,4.0,78.6,87,37%,37.0,2.25,64,25%,25.0,89.61,84,5%,5.0,18.16,90,23%,23.0,22.22,64,14%,14.0,"IPP,3P,MP120,STAY,P450,MGTe"
Nelore,REMC 5326,08/11,REM ARMADOR,G,REMC 3462,22,REMC 5326 08/11 REM ARMADOR G REMC 3462 -1.27 96 2% 87.94 99 5% 2.39 95 23% 88.50 97 6% 20.29 97 19% 7739 377 24.35 95 11%,-1.27,96,2%,2.0,87.94,99,5%,5.0,2.39,95,23%,23.0,88.5,97,6%,6.0,20.29,97,19%,19.0,24.35,95,11%,11.0,"IPP,3P,MP120,STAY,P450,MGTe"
