breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,23,"REMP 602 09/18 REM HORUS GEN ADT G REM A149 -1.02 80 10% 77.64 87 41% 8.63 79 0,1% 31.65 95 4% 2.98 92 0,1% 1465 88 33.47 79 2%",-1.02,80,10%,10.0,77.64,87,41%,41.0,8.63,79,"0,1%",0.1,31.65,95,4%,4.0,2.98,92,"0,1%",0.1,33.47,79,2%,2.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,23,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 -1.24 43 3% 89.02 74 4% 4.44 46 5% 38.31 69 1% 2.87 60 0,1% 140 20 36.50 46 0,1%",-1.24,43,3%,3.0,89.02,74,4%,4.0,4.44,46,5%,5.0,38.31,69,1%,1.0,2.87,60,"0,1%",0.1,36.5,46,"0,1%",0.1,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REM A149,09/15,REM EMBAIXADOR,G,REMC 5326,23,"REM A149 09/15 REM EMBAIXADOR G REMC 5326 -1.11 76 6% 90.04 90 3% 2.76 76 18% 25.80 97 10% 2.74 90 0,1% 723 63 28.16 76 6%",-1.11,76,6%,6.0,90.04,90,3%,3.0,2.76,76,18%,18.0,25.8,97,10%,10.0,2.74,90,"0,1%",0.1,28.16,76,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,FLPE 8542,10/21,AZULEJO FIV DA COMETA,G,REMP 816,23,"FLPE 8542 10/21 AZULEJO FIV DA COMETA G REMP 816 -0.91 42 18% 83.23 73 16% 4.67 44 4% 30.45 73 5% 2.68 75 0,1% 395 29 30.52 44 4%",-0.91,42,18%,18.0,83.23,73,16%,16.0,4.67,44,4%,4.0,30.45,73,5%,5.0,2.68,75,"0,1%",0.1,30.52,44,4%,4.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B7661,09/21,ESTEIO DA EAO,G,REM A7,23,"EAO B7661 09/21 ESTEIO DA EAO G REM A7 -0.94 45 15% 88.40 74 4% 3.69 49 9% 43.96 77 0,1% 2.65 64 0,1% 138 20 37.26 49 0,1%",-0.94,45,15%,15.0,88.4,74,4%,4.0,3.69,49,9%,9.0,43.96,77,"0,1%",0.1,2.65,64,"0,1%",0.1,37.26,49,"0,1%",0.1,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A5613,07/21,A5613 MAT. (GOLACO),G,REMP 602,23,"RDM A5613 07/21 A5613 MAT. (GOLACO) G REMP 602 -1.28 43 2% 88.63 72 4% 8.24 47 0,1% 30.52 68 5% 2.54 60 0,1% 40 4 36.69 47 0,1%",-1.28,43,2%,2.0,88.63,72,4%,4.0,8.24,47,"0,1%",0.1,30.52,68,5%,5.0,2.54,60,"0,1%",0.1,36.69,47,"0,1%",0.1,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,23,"LCCF 1153 08/21 GRAN RESERVA DA ARZ G REMP 816 -1.01 40 11% 90.87 74 2% 8.79 41 0,1% 40.71 70 0,5% 2.50 73 0,1% 305 43 40.25 41 0,1%",-1.01,40,11%,11.0,90.87,74,2%,2.0,8.79,41,"0,1%",0.1,40.71,70,"0,5%",0.5,2.5,73,"0,1%",0.1,40.25,41,"0,1%",0.1,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,23,"SINO 2878 10/21 HERON SINO G RDM A2162 -0.97 36 13% 95.64 73 0,1% 7.95 41 0,1% 39.16 82 0,5% 2.48 79 0,1% 571 48 40.36 41 0,1%",-0.97,36,13%,13.0,95.64,73,"0,1%",0.1,7.95,41,"0,1%",0.1,39.16,82,"0,5%",0.5,2.48,79,"0,1%",0.1,40.36,41,"0,1%",0.1,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A5492,07/21,GURUPI MAT.,G,REMP 602,23,"RDM A5492 07/21 GURUPI MAT. G REMP 602 -1.32 42 2% 84.21 72 13% 6.92 44 0,1% 38.06 84 1% 2.46 81 0,1% 631 45 35.73 44 0,5%",-1.32,42,2%,2.0,84.21,72,13%,13.0,6.92,44,"0,1%",0.1,38.06,84,1%,1.0,2.46,81,"0,1%",0.1,35.73,44,"0,5%",0.5,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,JHVM 18362,08/19,FAROEST FIV CAMPARINO,G,REM A563,23,"JHVM 18362 08/19 FAROEST FIV CAMPARINO G REM A563 -1.50 38 0,5% 91.22 85 2% 2.91 43 16% 27.37 70 8% 2.43 60 0,1% 52 4 27.65 43 6%",-1.5,38,"0,5%",0.5,91.22,85,2%,2.0,2.91,43,16%,16.0,27.37,70,8%,8.0,2.43,60,"0,1%",0.1,27.65,43,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,MCPJ 8108,07/22,8108S FIV JMP,G,REM A1576,23,"MCPJ 8108 07/22 8108S FIV JMP G REM A1576 -1.20 44 4% 88.03 61 5% 6.38 48 0,5% 38.77 68 0,5% 2.40 62 0,1% 70 8 41.29 48 0,1%",-1.2,44,4%,4.0,88.03,61,5%,5.0,6.38,48,"0,5%",0.5,38.77,68,"0,5%",0.5,2.4,62,"0,1%",0.1,41.29,48,"0,1%",0.1,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,BRMG 3862,10/19,BRASIL DA BEABISA,G,FPO 2683,23,"BRMG 3862 10/19 BRASIL DA BEABISA G FPO 2683 -1.18 56 4% 93.10 85 1% 2.65 56 19% 37.01 88 1% 2.38 80 0,1% 175 26 35.49 56 0,5%",-1.18,56,4%,4.0,93.1,85,1%,1.0,2.65,56,19%,19.0,37.01,88,1%,1.0,2.38,80,"0,1%",0.1,35.49,56,"0,5%",0.5,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,FANO 2978,09/20,EMBATE DA AGRONOVA,G,BONS 3108,23,"FANO 2978 09/20 EMBATE DA AGRONOVA G BONS 3108 -0.90 55 19% 77.59 86 42% 6.16 51 1% 30.93 93 4% 2.33 90 0,1% 1388 109 34.25 51 1%",-0.9,55,19%,19.0,77.59,86,42%,42.0,6.16,51,1%,1.0,30.93,93,4%,4.0,2.33,90,"0,1%",0.1,34.25,51,1%,1.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REMC A3750,09/20,REM JATOBA GEN. ADT,G,REM A1576,23,"REMC A3750 09/20 REM JATOBA GEN. ADT G REM A1576 -1.22 41 3% 84.30 85 13% 2.00 44 30% 30.29 83 5% 2.32 70 0,1% 145 19 27.89 44 6%",-1.22,41,3%,3.0,84.3,85,13%,13.0,2.0,44,30%,30.0,30.29,83,5%,5.0,2.32,70,"0,1%",0.1,27.89,44,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A5722,07/21,GOLDMAN MAT.,G,REMP 602,23,"RDM A5722 07/21 GOLDMAN MAT. G REMP 602 -0.93 43 16% 82.60 75 19% 5.17 46 3% 36.61 86 1% 2.31 79 0,5% 590 20 33.25 46 2%",-0.93,43,16%,16.0,82.6,75,19%,19.0,5.17,46,3%,3.0,36.61,86,1%,1.0,2.31,79,"0,5%",0.5,33.25,46,2%,2.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A2162,07/19,ESCOBAR MAT.,G,BONS 3108,23,"RDM A2162 07/19 ESCOBAR MAT. G BONS 3108 -0.53 51 58% 78.28 86 38% 2.42 55 23% 23.57 80 13% 2.30 73 0,5% 121 14 23.37 55 12%",-0.53,51,58%,58.0,78.28,86,38%,38.0,2.42,55,23%,23.0,23.57,80,13%,13.0,2.3,73,"0,5%",0.5,23.37,55,12%,12.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REMP 1083,10/19,REM IMPERIO GEN. ADT,G,JHVM 14716,23,"REMP 1083 10/19 REM IMPERIO GEN. ADT G JHVM 14716 -0.78 49 30% 73.96 84 57% 1.41 50 45% 30.24 84 5% 2.30 72 0,5% 43 8 28.37 50 6%",-0.78,49,30%,30.0,73.96,84,57%,57.0,1.41,50,45%,45.0,30.24,84,5%,5.0,2.3,72,"0,5%",0.5,28.37,50,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B1348,08/19,CAMAROTE FIV DA EAO,G,BONS 3108,23,"EAO B1348 08/19 CAMAROTE FIV DA EAO G BONS 3108 -1.10 50 7% 85.45 73 10% 4.91 52 3% 25.06 84 11% 2.30 71 0,5% 71 7 28.05 52 6%",-1.1,50,7%,7.0,85.45,73,10%,10.0,4.91,52,3%,3.0,25.06,84,11%,11.0,2.3,71,"0,5%",0.5,28.05,52,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REM A1936,10/17,REM GARANTIDO,G,REM A7,23,"REM A1936 10/17 REM GARANTIDO G REM A7 -1.08 86 7% 89.49 90 3% 0.02 85 87% 28.73 98 6% 2.29 96 0,5% 2876 146 27.52 83 6%",-1.08,86,7%,7.0,89.49,90,3%,3.0,0.02,85,87%,87.0,28.73,98,6%,6.0,2.29,96,"0,5%",0.5,27.52,83,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,SGN 1834,08/21,FALUCK DO CRISPIM,G,REMP 816,23,"SGN 1834 08/21 FALUCK DO CRISPIM G REMP 816 -0.78 43 30% 78.13 73 39% 2.24 44 26% 34.80 86 2% 2.28 82 0,5% 575 59 28.80 44 5%",-0.78,43,30%,30.0,78.13,73,39%,39.0,2.24,44,26%,26.0,34.8,86,2%,2.0,2.28,82,"0,5%",0.5,28.8,44,5%,5.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B7222,08/21,B7222 FIV DA EAO (EXE,G,REM A1936,23,"EAO B7222 08/21 B7222 FIV DA EAO (EXE G REM A1936 -1.24 45 3% 99.17 72 0,1% 3.83 49 8% 30.76 73 4% 2.25 73 0,5% 293 43 35.38 49 0,5%",-1.24,45,3%,3.0,99.17,72,"0,1%",0.1,3.83,49,8%,8.0,30.76,73,4%,4.0,2.25,73,"0,5%",0.5,35.38,49,"0,5%",0.5,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,23,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 -0.74 40 34% 84.31 74 13% 1.33 45 49% 35.48 70 2% 2.24 61 0,5% 137 22 31.11 45 3%",-0.74,40,34%,34.0,84.31,74,13%,13.0,1.33,45,49%,49.0,35.48,70,2%,2.0,2.24,61,"0,5%",0.5,31.11,45,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A6179,08/21,GALLO MAT.,G,REMP 602,23,"RDM A6179 08/21 GALLO MAT. G REMP 602 -1.13 42 5% 86.23 74 8% 8.01 45 0,1% 36.01 69 2% 2.23 62 0,5% 64 12 35.45 45 0,5%",-1.13,42,5%,5.0,86.23,74,8%,8.0,8.01,45,"0,1%",0.1,36.01,69,2%,2.0,2.23,62,"0,5%",0.5,35.45,45,"0,5%",0.5,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,FANO 2879,08/20,ELOQUENDE DA AGRONOVA,G,BONS 3108,23,"FANO 2879 08/20 ELOQUENDE DA AGRONOVA G BONS 3108 -0.75 48 32% 75.08 84 53% 5.22 52 2% 29.02 83 6% 2.18 75 0,5% 172 19 31.92 52 3%",-0.75,48,32%,32.0,75.08,84,53%,53.0,5.22,52,2%,2.0,29.02,83,6%,6.0,2.18,75,"0,5%",0.5,31.92,52,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REMP 816,10/18,REM HERMOSO FIV GEN A,G,REM A7,23,"REMP 816 10/18 REM HERMOSO FIV GEN A G REM A7 -0.94 84 15% 92.23 91 1% 1.75 83 36% 34.65 98 2% 2.17 97 0,5% 5215 232 29.42 81 5%",-0.94,84,15%,15.0,92.23,91,1%,1.0,1.75,83,36%,36.0,34.65,98,2%,2.0,2.17,97,"0,5%",0.5,29.42,81,5%,5.0,"IPP,3P,MP120,P450,PE365,MGTe"
