breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,MP210dep,MP210ac,MP210top,MP210top_pct,PACdep,PACac,PACtop,PACtop_pct,P450dep,P450ac,P450top,P450top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,24,"REMP 602 09/18 REM HORUS GEN ADT G REM A149 -1.02 80 10% 8.63 79 0,1% 11.24 80 0,1% 8.77 49 12% 31.65 95 4% 2920 156 33.47 79 2%",-1.02,80,10%,10.0,8.63,79,"0,1%",0.1,11.24,80,"0,1%",0.1,8.77,49,12%,12.0,31.65,95,4%,4.0,33.47,79,2%,2.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,GRI C585,02/20,CASSINO FIV DA S.NICE,G,LBMN D4685,24,"GRI C585 02/20 CASSINO FIV DA S.NICE G LBMN D4685 -0.83 51 25% 8.50 47 0,1% 11.17 46 0,1% 12.23 53 2% 28.54 90 6% 146 21 32.44 47 2%",-0.83,51,25%,25.0,8.5,47,"0,1%",0.1,11.17,46,"0,1%",0.1,12.23,53,2%,2.0,28.54,90,6%,6.0,32.44,47,2%,2.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,ACNP 3165,07/17,BRUTHO J MACHADO,G,REMC 5326,24,"ACNP 3165 07/17 BRUTHO J MACHADO G REMC 5326 -0.99 48 12% 8.39 52 0,1% 11.44 51 0,1% 10.99 32 4% 26.88 80 8% 27 3 31.45 52 3%",-0.99,48,12%,12.0,8.39,52,"0,1%",0.1,11.44,51,"0,1%",0.1,10.99,32,4%,4.0,26.88,80,8%,8.0,31.45,52,3%,3.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,EAO A8881,07/18,8881 FIV DA EAO,G,REM 6447,24,"EAO A8881 07/18 8881 FIV DA EAO G REM 6447 -0.94 50 15% 8.14 52 0,1% 10.76 53 0,1% 10.98 32 4% 25.40 81 10% 18 3 31.11 52 3%",-0.94,50,15%,15.0,8.14,52,"0,1%",0.1,10.76,53,"0,1%",0.1,10.98,32,4%,4.0,25.4,81,10%,10.0,31.11,52,3%,3.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,CSCN 17431,07/18,UTAM DE NAVIRAI,G,BRMG 2299,24,"CSCN 17431 07/18 UTAM DE NAVIRAI G BRMG 2299 -1.13 69 5% 8.05 64 0,1% 10.65 63 0,1% 8.83 30 11% 14.22 95 33% 425 39 27.51 64 6%",-1.13,69,5%,5.0,8.05,64,"0,1%",0.1,10.65,63,"0,1%",0.1,8.83,30,11%,11.0,14.22,95,33%,33.0,27.51,64,6%,6.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,24,"SINO 2878 10/21 HERON SINO G RDM A2162 -0.97 36 13% 7.95 41 0,1% 9.99 42 0,1% 14.61 45 0,1% 39.16 82 0,5% 55 3 40.36 41 0,1%",-0.97,36,13%,13.0,7.95,41,"0,1%",0.1,9.99,42,"0,1%",0.1,14.61,45,"0,1%",0.1,39.16,82,"0,5%",0.5,40.36,41,"0,1%",0.1,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,ELGE 2932,08/13,BARU DA ELGE,G,LBMN D1484,24,"ELGE 2932 08/13 BARU DA ELGE G LBMN D1484 -0.86 50 22% 7.87 52 0,1% 10.06 51 0,1% 8.33 33 14% 23.40 84 13% 92 17 24.51 52 11%",-0.86,50,22%,22.0,7.87,52,"0,1%",0.1,10.06,51,"0,1%",0.1,8.33,33,14%,14.0,23.4,84,13%,13.0,24.51,52,11%,11.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,BONS 3180,10/16,QUINCY BONS,G,REMC 5326,24,"BONS 3180 10/16 QUINCY BONS G REMC 5326 -1.31 56 2% 7.81 58 0,1% 10.73 57 0,1% 12.47 34 2% 28.45 86 6% 162 21 32.73 58 2%",-1.31,56,2%,2.0,7.81,58,"0,1%",0.1,10.73,57,"0,1%",0.1,12.47,34,2%,2.0,28.45,86,6%,6.0,32.73,58,2%,2.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,EAO B4051,07/20,D8 DA EAO,G,REM A7,24,"EAO B4051 07/20 D8 DA EAO G REM A7 -1.51 45 0,5% 7.57 47 0,1% 9.26 47 0,5% 9.36 59 9% 27.03 95 8% 245 28 31.99 47 3%",-1.51,45,"0,5%",0.5,7.57,47,"0,1%",0.1,9.26,47,"0,5%",0.5,9.36,59,9%,9.0,27.03,95,8%,8.0,31.99,47,3%,3.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Nelore,GREN B9728,07/20,QUENTAO DA GREN.,G,FANO 1509,24,"GREN B9728 07/20 QUENTAO DA GREN. G FANO 1509 -0.46 44 68% 7.52 46 0,1% 10.59 47 0,1% 12.28 59 2% 28.11 86 7% 75 3 28.00 46 6%",-0.46,44,68%,68.0,7.52,46,"0,1%",0.1,10.59,47,"0,1%",0.1,12.28,59,2%,2.0,28.11,86,7%,7.0,28.0,46,6%,6.0,"IPP,MP120,MP210,PAC,P450,MGTe"
