breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,RDM A4814,10/20,FALCAO MAT.,G,SINO 1647,26,"RDM A4814 10/20 FALCAO MAT. G SINO 1647 4.17 42 6% 10.09 59 4% 21.65 66 1% 47.17 68 0,1% 2.54 58 0,1% 61 11 37.84 42 0,1%",4.17,42,6%,6.0,10.09,59,4%,4.0,21.65,66,1%,1.0,47.17,68,"0,1%",0.1,2.54,58,"0,1%",0.1,37.84,42,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,26,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 1.72 48 37% 11.05 76 3% 21.06 78 1% 45.95 73 0,1% 1.88 66 2% 228 24 35.67 48 0,5%",1.72,48,37%,37.0,11.05,76,3%,3.0,21.06,78,1%,1.0,45.95,73,"0,1%",0.1,1.88,66,2%,2.0,35.67,48,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,26,"MCPJ 6525 06/21 6525C FIV JMP G REM 10447 7.78 43 0,1% 14.52 87 0,1% 25.26 88 0,1% 45.32 81 0,1% 1.61 76 4% 475 35 37.84 43 0,1%",7.78,43,"0,1%",0.1,14.52,87,"0,1%",0.1,25.26,88,"0,1%",0.1,45.32,81,"0,1%",0.1,1.61,76,4%,4.0,37.84,43,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,COL 28419,11/21,VESTIGIO FIV COL,G,AZAN 2343,26,"COL 28419 11/21 VESTIGIO FIV COL G AZAN 2343 6.50 42 0,5% 14.50 61 0,1% 25.55 62 0,1% 45.31 64 0,1% 1.36 56 7% 104 5 37.21 42 0,1%",6.5,42,"0,5%",0.5,14.5,61,"0,1%",0.1,25.55,62,"0,1%",0.1,45.31,64,"0,1%",0.1,1.36,56,7%,7.0,37.21,42,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,26,"FANO 2995 09/20 ESTUDANTE DA AGRONOVA G FANO 1509 3.33 47 12% 16.27 88 0,1% 26.75 90 0,1% 45.27 81 0,1% 1.83 80 2% 498 41 37.68 47 0,1%",3.33,47,12%,12.0,16.27,88,"0,1%",0.1,26.75,90,"0,1%",0.1,45.27,81,"0,1%",0.1,1.83,80,2%,2.0,37.68,47,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,EAO B7661,09/21,ESTEIO DA EAO,G,REM A7,26,"EAO B7661 09/21 ESTEIO DA EAO G REM A7 3.69 49 9% 11.12 80 3% 22.71 83 0,5% 43.96 77 0,1% 2.65 64 0,1% 244 25 37.26 49 0,1%",3.69,49,9%,9.0,11.12,80,3%,3.0,22.71,83,"0,5%",0.5,43.96,77,"0,1%",0.1,2.65,64,"0,1%",0.1,37.26,49,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REM 11627,10/20,REM JAMANTA GEN. ADT,G,REM A1576,26,"REM 11627 10/20 REM JAMANTA GEN. ADT G REM A1576 3.03 42 14% 11.26 86 2% 21.35 89 1% 43.69 88 0,1% 1.35 79 8% 468 47 36.24 42 0,1%",3.03,42,14%,14.0,11.26,86,2%,2.0,21.35,89,1%,1.0,43.69,88,"0,1%",0.1,1.35,79,8%,8.0,36.24,42,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REMP 1416,07/21,REM PASSAPORTE FIV GE,G,REM A2239,26,"REMP 1416 07/21 REM PASSAPORTE FIV GE G REM A2239 2.45 44 22% 13.51 95 0,5% 23.67 95 0,1% 42.33 91 0,1% 1.71 88 3% 2470 127 35.38 44 0,5%",2.45,44,22%,22.0,13.51,95,"0,5%",0.5,23.67,95,"0,1%",0.1,42.33,91,"0,1%",0.1,1.71,88,3%,3.0,35.38,44,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,HORA 5734,09/21,5734 TE DA HORA (LICO,G,SINO 1730,26,"HORA 5734 09/21 5734 TE DA HORA (LICO G SINO 1730 1.85 43 34% 14.41 63 0,1% 24.51 66 0,1% 41.46 66 0,1% 2.03 56 1% 94 6 35.91 43 0,5%",1.85,43,34%,34.0,14.41,63,"0,1%",0.1,24.51,66,"0,1%",0.1,41.46,66,"0,1%",0.1,2.03,56,1%,1.0,35.91,43,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,26,"LCCF 1153 08/21 GRAN RESERVA DA ARZ G REMP 816 8.79 41 0,1% 9.23 79 6% 18.97 85 3% 40.71 70 0,5% 2.50 73 0,1% 409 44 40.25 41 0,1%",8.79,41,"0,1%",0.1,9.23,79,6%,6.0,18.97,85,3%,3.0,40.71,70,"0,5%",0.5,2.5,73,"0,1%",0.1,40.25,41,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MMLN 1226,09/20,VOLEI FIV CATARINA,G,BRMG 2299,26,"MMLN 1226 09/20 VOLEI FIV CATARINA G BRMG 2299 5.31 46 2% 12.60 64 1% 23.53 67 0,1% 40.64 67 0,5% 1.46 60 6% 40 11 37.02 46 0,1%",5.31,46,2%,2.0,12.6,64,1%,1.0,23.53,67,"0,1%",0.1,40.64,67,"0,5%",0.5,1.46,60,6%,6.0,37.02,46,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,IPB 7475,02/22,7475 DA IPB,G,REM 10447,26,"IPB 7475 02/22 7475 DA IPB G REM 10447 4.30 48 5% 16.21 71 0,1% 23.60 75 0,1% 40.62 71 0,5% 1.52 62 5% 110 5 37.41 48 0,1%",4.3,48,5%,5.0,16.21,71,"0,1%",0.1,23.6,75,"0,1%",0.1,40.62,71,"0,5%",0.5,1.52,62,5%,5.0,37.41,48,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,HORA 6190,11/21,LUTHER DA HORA,G,HORA 3986,26,"HORA 6190 11/21 LUTHER DA HORA G HORA 3986 2.90 43 16% 15.24 67 0,1% 23.55 73 0,1% 40.56 71 0,5% 1.51 62 5% 109 17 32.08 43 3%",2.9,43,16%,16.0,15.24,67,"0,1%",0.1,23.55,73,"0,1%",0.1,40.56,71,"0,5%",0.5,1.51,62,5%,5.0,32.08,43,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,26,"REM 12045 08/21 REM LEGACY GEN.ADT G REM A1576 3.19 44 13% 11.82 74 2% 21.04 76 1% 40.35 72 0,5% 1.45 60 6% 164 15 33.60 44 2%",3.19,44,13%,13.0,11.82,74,2%,2.0,21.04,76,1%,1.0,40.35,72,"0,5%",0.5,1.45,60,6%,6.0,33.6,44,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,AZAN 2509,07/19,TIRAMISU DA BELA,G,AZAN 1397,26,"AZAN 2509 07/19 TIRAMISU DA BELA G AZAN 1397 1.89 40 33% 12.14 65 1% 21.20 67 1% 40.26 70 0,5% 1.64 61 4% 67 6 30.35 40 4%",1.89,40,33%,33.0,12.14,65,1%,1.0,21.2,67,1%,1.0,40.26,70,"0,5%",0.5,1.64,61,4%,4.0,30.35,40,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FLOC 342,11/20,FAHAL OL TIMBO,G,REM A1576,26,"FLOC 342 11/20 FAHAL OL TIMBO G REM A1576 3.37 47 11% 9.52 68 6% 19.03 70 3% 39.97 71 0,5% 1.75 63 3% 42 3 31.67 47 3%",3.37,47,11%,11.0,9.52,68,6%,6.0,19.03,70,3%,3.0,39.97,71,"0,5%",0.5,1.75,63,3%,3.0,31.67,47,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REMP 726,10/18,REM HUJALA FIV GEN AD,G,REM 8933,26,"REMP 726 10/18 REM HUJALA FIV GEN AD G REM 8933 4.49 59 5% 12.15 86 1% 21.55 87 1% 39.85 93 0,5% 1.39 85 7% 528 32 32.84 59 2%",4.49,59,5%,5.0,12.15,86,1%,1.0,21.55,87,1%,1.0,39.85,93,"0,5%",0.5,1.39,85,7%,7.0,32.84,59,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
