breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,ANP 1496,01/22,CAPITOLIO DA ANP,G,REMP 816,28,"ANP 1496 01/22 CAPITOLIO DA ANP G REMP 816 -0.80 44 28% 79.21 58 34% 28.53 69 6% 3.95 66 7% 1.79 66 0,1% 23 2 27.23 49 7%",-0.8,44,28%,28.0,79.21,58,34%,34.0,28.53,69,6%,6.0,3.95,66,7%,7.0,1.79,66,"0,1%",0.1,27.23,49,7%,7.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B4846,08/20,DECRETO FIV DA EAO,G,LBMN D4685,28,"EAO B4846 08/20 DECRETO FIV DA EAO G LBMN D4685 -1.30 47 2% 93.17 76 1% 24.89 77 11% 3.15 74 13% 1.67 73 0,1% 43 2 29.03 50 5%",-1.3,47,2%,2.0,93.17,76,1%,1.0,24.89,77,11%,11.0,3.15,74,13%,13.0,1.67,73,"0,1%",0.1,29.03,50,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,CSCN 17431,07/18,UTAM DE NAVIRAI,G,BRMG 2299,28,"CSCN 17431 07/18 UTAM DE NAVIRAI G BRMG 2299 -1.13 69 5% 89.51 85 3% 14.22 95 33% 2.14 92 22% 1.64 91 0,1% 666 35 27.51 64 6%",-1.13,69,5%,5.0,89.51,85,3%,3.0,14.22,95,33%,33.0,2.14,92,22%,22.0,1.64,91,"0,1%",0.1,27.51,64,6%,6.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,GFC 1075,11/20,NERO DO MORRO,G,REM A1576,28,"GFC 1075 11/20 NERO DO MORRO G REM A1576 -1.29 38 2% 82.89 73 18% 30.63 84 4% 5.14 81 3% 1.57 78 0,1% 291 26 30.92 44 3%",-1.29,38,2%,2.0,82.89,73,18%,18.0,30.63,84,4%,4.0,5.14,81,3%,3.0,1.57,78,"0,1%",0.1,30.92,44,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,AGJZ 878,07/21,JAMBU FIV DA GAROUPA,G,REMP 816,28,"AGJZ 878 07/21 JAMBU FIV DA GAROUPA G REMP 816 -0.89 42 19% 91.86 73 1% 32.04 69 3% 3.45 63 10% 1.51 64 0,1% 205 13 32.45 45 2%",-0.89,42,19%,19.0,91.86,73,1%,1.0,32.04,69,3%,3.0,3.45,63,10%,10.0,1.51,64,"0,1%",0.1,32.45,45,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,28,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 -1.11 44 6% 84.01 72 14% 45.95 73 0,1% 8.58 66 0,1% 1.45 67 0,1% 144 14 35.67 48 0,5%",-1.11,44,6%,6.0,84.01,72,14%,14.0,45.95,73,"0,1%",0.1,8.58,66,"0,1%",0.1,1.45,67,"0,1%",0.1,35.67,48,"0,5%",0.5,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,GRI C630,02/20,PROMOTOR FIV DA S.NIC,G,REM A1230,28,"GRI C630 02/20 PROMOTOR FIV DA S.NIC G REM A1230 -1.09 51 7% 85.64 85 9% 27.85 85 7% 3.70 85 9% 1.44 85 0,1% 216 19 26.31 49 8%",-1.09,51,7%,7.0,85.64,85,9%,9.0,27.85,85,7%,7.0,3.7,85,9%,9.0,1.44,85,"0,1%",0.1,26.31,49,8%,8.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B7502,09/21,ELO FIV DA EAO (B7502,G,REM A1936,28,"EAO B7502 09/21 ELO FIV DA EAO (B7502 G REM A1936 -1.32 45 2% 84.68 71 12% 33.91 69 2% 4.91 68 3% 1.43 66 0,1% 60 5 33.15 47 2%",-1.32,45,2%,2.0,84.68,71,12%,12.0,33.91,69,2%,2.0,4.91,68,3%,3.0,1.43,66,"0,1%",0.1,33.15,47,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,JHVM 21644,11/20,HD CAMPARINO,G,JHVM 17499,28,"JHVM 21644 11/20 HD CAMPARINO G JHVM 17499 -1.47 38 0,5% 89.88 73 3% 24.34 77 12% 2.44 68 19% 1.42 68 0,1% 131 8 30.02 41 4%",-1.47,38,"0,5%",0.5,89.88,73,3%,3.0,24.34,77,12%,12.0,2.44,68,19%,19.0,1.42,68,"0,1%",0.1,30.02,41,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REM 11271,08/20,REM JATO GEN. ADT,G,REM A1576,28,"REM 11271 08/20 REM JATO GEN. ADT G REM A1576 -1.23 46 3% 88.33 86 4% 28.71 90 6% 5.29 82 2% 1.39 81 0,1% 189 17 29.80 48 4%",-1.23,46,3%,3.0,88.33,86,4%,4.0,28.71,90,6%,6.0,5.29,82,2%,2.0,1.39,81,"0,1%",0.1,29.8,48,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,MMVA 5399,10/21,CONTAINER FIV DA JACA,G,REMP 816,28,"MMVA 5399 10/21 CONTAINER FIV DA JACA G REMP 816 -0.71 43 37% 77.43 75 42% 34.62 68 2% 2.69 64 17% 1.37 65 0,5% 50 2 28.74 45 5%",-0.71,43,37%,37.0,77.43,75,42%,42.0,34.62,68,2%,2.0,2.69,64,17%,17.0,1.37,65,"0,5%",0.5,28.74,45,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,XRGM 4415,08/20,JACAREH FIV DA XARAES,G,REM A1936,28,"XRGM 4415 08/20 JACAREH FIV DA XARAES G REM A1936 -0.81 41 27% 78.91 75 35% 27.00 67 8% 3.88 71 7% 1.34 69 0,5% 82 2 29.46 44 4%",-0.81,41,27%,27.0,78.91,75,35%,35.0,27.0,67,8%,8.0,3.88,71,7%,7.0,1.34,69,"0,5%",0.5,29.46,44,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,SGN 1834,08/21,FALUCK DO CRISPIM,G,REMP 816,28,"SGN 1834 08/21 FALUCK DO CRISPIM G REMP 816 -0.78 43 30% 78.13 73 39% 34.80 86 2% 3.49 64 10% 1.34 61 0,5% 624 30 28.80 44 5%",-0.78,43,30%,30.0,78.13,73,39%,39.0,34.8,86,2%,2.0,3.49,64,10%,10.0,1.34,61,"0,5%",0.5,28.8,44,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
