breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,CSAF 1061,11/17,1061 DA SAF,G,LBMN D1484,29,"CSAF 1061 11/17 1061 DA SAF G LBMN D1484 -0.79 49 29% 74.94 84 53% 13.92 87 34% 0.59 82 56% 0.75 83 4% 0.44 83 0,1% 166 19 17.91 49 23%",-0.79,49,29%,29.0,74.94,84,53%,53.0,13.92,87,34%,34.0,0.59,82,56%,56.0,0.75,83,4%,4.0,0.44,83,"0,1%",0.1,17.91,49,23%,23.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,FSAT 1554,10/12,TIJOLO DO GOLIAS,G,7955,29,"FSAT 1554 10/12 TIJOLO DO GOLIAS G 7955 -0.65 47 43% 81.96 87 21% 6.16 81 68% 1.97 82 24% 0.41 79 12% 0.44 82 0,1% 244 6 13.16 47 36%",-0.65,47,43%,43.0,81.96,87,21%,21.0,6.16,81,68%,68.0,1.97,82,24%,24.0,0.41,79,12%,12.0,0.44,82,"0,1%",0.1,13.16,47,36%,36.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,REMP 361,11/11,REM ALCOOL,G,REM 4677,29,"REMP 361 11/11 REM ALCOOL G REM 4677 -0.89 59 19% 75.61 86 51% 16.82 90 26% 1.31 84 33% 0.92 84 2% 0.42 75 0,1% 205 19 15.38 66 30%",-0.89,59,19%,19.0,75.61,86,51%,51.0,16.82,90,26%,26.0,1.31,84,33%,33.0,0.92,84,2%,2.0,0.42,75,"0,1%",0.1,15.38,66,30%,30.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,GRI C1877,11/20,PIRATA DA S.NICE,G,COL 23568,29,"GRI C1877 11/20 PIRATA DA S.NICE G COL 23568 -1.15 43 5% 72.04 76 64% 29.67 73 5% 5.72 64 1% 0.43 65 11% 0.37 60 0,1% 83 6 30.31 46 4%",-1.15,43,5%,5.0,72.04,76,64%,64.0,29.67,73,5%,5.0,5.72,64,1%,1.0,0.43,65,11%,11.0,0.37,60,"0,1%",0.1,30.31,46,4%,4.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,GRI C1067,09/20,TORONTO DA S.NICE,G,AZAN 2193,29,"GRI C1067 09/20 TORONTO DA S.NICE G AZAN 2193 -0.91 37 18% 84.02 73 14% 28.08 65 7% 5.46 70 2% 0.49 68 9% 0.36 69 0,1% 67 7 28.46 40 5%",-0.91,37,18%,18.0,84.02,73,14%,14.0,28.08,65,7%,7.0,5.46,70,2%,2.0,0.49,68,9%,9.0,0.36,69,"0,1%",0.1,28.46,40,5%,5.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,CSCF 4554,12/17,URCO FIV DE NAV.,G,REMC 5326,29,"CSCF 4554 12/17 URCO FIV DE NAV. G REMC 5326 -1.16 81 5% 83.33 88 16% 23.28 98 13% 2.47 94 19% 0.24 95 19% 0.35 89 0,1% 1222 41 26.08 76 8%",-1.16,81,5%,5.0,83.33,88,16%,16.0,23.28,98,13%,13.0,2.47,94,19%,19.0,0.24,95,19%,19.0,0.35,89,"0,1%",0.1,26.08,76,8%,8.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,HORA 5862,10/21,LOZANO TE DA HORA,G,FVC 11452,29,"HORA 5862 10/21 LOZANO TE DA HORA G FVC 11452 -1.28 39 2% 87.42 75 6% 25.02 67 11% 3.18 63 12% 0.91 63 2% 0.34 59 0,1% 23 4 26.91 45 7%",-1.28,39,2%,2.0,87.42,75,6%,6.0,25.02,67,11%,11.0,3.18,63,12%,12.0,0.91,63,2%,2.0,0.34,59,"0,1%",0.1,26.91,45,7%,7.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,FSH A9922,11/15,KALYAN DP,G,REM 6447,29,"FSH A9922 11/15 KALYAN DP G REM 6447 -0.61 52 48% 80.83 88 26% 24.91 87 11% 4.08 79 6% 0.58 76 7% 0.32 73 0,1% 90 4 24.62 53 10%",-0.61,52,48%,48.0,80.83,88,26%,26.0,24.91,87,11%,11.0,4.08,79,6%,6.0,0.58,76,7%,7.0,0.32,73,"0,1%",0.1,24.62,53,10%,10.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,FLOC 264,11/19,EVOQUE FIV FLOC,G,REMC A657,29,"FLOC 264 11/19 EVOQUE FIV FLOC G REMC A657 -1.32 46 2% 84.55 74 12% 29.58 74 5% 6.78 68 0,1% 0.13 68 29% 0.32 64 0,1% 58 6 27.42 52 7%",-1.32,46,2%,2.0,84.55,74,12%,12.0,29.58,74,5%,5.0,6.78,68,"0,1%",0.1,0.13,68,29%,29.0,0.32,64,"0,1%",0.1,27.42,52,7%,7.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
Nelore,HORA 5989,10/21,LA PORTE TE DA HORA,G,HORA 3150,29,"HORA 5989 10/21 LA PORTE TE DA HORA G HORA 3150 -1.20 45 4% 89.36 71 3% 31.83 74 4% 4.95 65 3% 0.21 66 21% 0.32 61 0,1% 149 20 29.54 48 4%",-1.2,45,4%,4.0,89.36,71,3%,3.0,31.83,74,4%,4.0,4.95,65,3%,3.0,0.21,66,21%,21.0,0.32,61,"0,1%",0.1,29.54,48,4%,4.0,"IPP,3P,P450,AOL,ACAB,MAR,MGTe"
