breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,IMSdep,IMSac,IMStop,IMStop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,HORA 5914,10/21,5914 TE DA HORA,G,HORA 3150,30,"HORA 5914 10/21 5914 TE DA HORA G HORA 3150 31.71 69 4% -0.390 44 0,1% -0.390 49 0,1% 5.12 67 3% 0.09 65 36% 29.92 50 4%",31.71,69,4%,4.0,-0.39,44,"0,1%",0.1,-0.39,49,"0,1%",0.1,5.12,67,3%,3.0,0.09,65,36%,36.0,29.92,50,4%,4.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,PAU 6863,07/25,VIGOROSO FIV DA PAULE,G,PAU 6018,30,"PAU 6863 07/25 VIGOROSO FIV DA PAULE G PAU 6018 39.97 57 0,5% -0.350 44 0,1% -0.240 37 5% 4.97 45 3% 0.01 43 61% 34.03 43 2%",39.97,57,"0,5%",0.5,-0.35,44,"0,1%",0.1,-0.24,37,5%,5.0,4.97,45,3%,3.0,0.01,43,61%,61.0,34.03,43,2%,2.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MMAR 4383,09/24,4383 FIV DA MARCONDES,G,BONS 4404,30,"MMAR 4383 09/24 4383 FIV DA MARCONDES G BONS 4404 34.65 60 2% -0.330 62 0,1% -0.146 32 36% 3.81 52 8% 1.21 51 1% 29.62 34 4%",34.65,60,2%,2.0,-0.33,62,"0,1%",0.1,-0.146,32,36%,36.0,3.81,52,8%,8.0,1.21,51,1%,1.0,29.62,34,4%,4.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,HORA 5934,10/21,5934 TE DA HORA,G,HORA 3150,30,"HORA 5934 10/21 5934 TE DA HORA G HORA 3150 31.77 69 4% -0.330 47 0,1% -0.330 50 0,5% 4.88 66 3% 0.15 64 26% 31.21 51 3%",31.77,69,4%,4.0,-0.33,47,"0,1%",0.1,-0.33,50,"0,5%",0.5,4.88,66,3%,3.0,0.15,64,26%,26.0,31.21,51,3%,3.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,PAU 6821,07/25,VERGALHÃƒO FIV DA PAU,G,PAU 6018,30,"PAU 6821 07/25 VERGALHÃƒO FIV DA PAU G PAU 6018 41.45 53 0,1% -0.330 38 0,1% -0.179 47 20% 4.75 43 4% 0.04 42 51% 36.22 39 0,1%",41.45,53,"0,1%",0.1,-0.33,38,"0,1%",0.1,-0.179,47,20%,20.0,4.75,43,4%,4.0,0.04,42,51%,51.0,36.22,39,"0,1%",0.1,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,GREN A8787,12/17,SUPREMO DA GREN,G,LBMN D4685,30,"GREN A8787 12/17 SUPREMO DA GREN G LBMN D4685 18.12 87 23% -0.330 38 0,1% -0.530 42 0,1% 1.13 70 36% 0.58 67 7% 23.22 57 13%",18.12,87,23%,23.0,-0.33,38,"0,1%",0.1,-0.53,42,"0,1%",0.1,1.13,70,36%,36.0,0.58,67,7%,7.0,23.22,57,13%,13.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MBO A1710,09/20,A1710 DE MARIPA,G,MBO 5586,30,"MBO A1710 09/20 A1710 DE MARIPA G MBO 5586 12.25 63 39% -0.321 50 0,1% -0.442 30 0,1% 1.27 57 34% 0.34 55 14% 14.50 40 32%",12.25,63,39%,39.0,-0.321,50,"0,1%",0.1,-0.442,30,"0,1%",0.1,1.27,57,34%,34.0,0.34,55,14%,14.0,14.5,40,32%,32.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FANO 4975,08/23,IPORA DA AGRONOVA,G,FANO 2762,30,"FANO 4975 08/23 IPORA DA AGRONOVA G FANO 2762 33.79 69 3% -0.320 49 0,1% -0.241 54 5% 4.90 66 3% 0.59 64 7% 31.72 45 3%",33.79,69,3%,3.0,-0.32,49,"0,1%",0.1,-0.241,54,5%,5.0,4.9,66,3%,3.0,0.59,64,7%,7.0,31.72,45,3%,3.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,JNM 6339,02/23,FIGO FIV URUCU,G,RDM A1335,30,"JNM 6339 02/23 FIGO FIV URUCU G RDM A1335 31.28 70 4% -0.320 42 0,1% -0.152 45 33% 4.56 65 4% 0.67 63 5% 29.03 48 5%",31.28,70,4%,4.0,-0.32,42,"0,1%",0.1,-0.152,45,33%,33.0,4.56,65,4%,4.0,0.67,63,5%,5.0,29.03,48,5%,5.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FANO 4995,08/23,INSANO DA AGRONOVA,G,FANO 2762,30,"FANO 4995 08/23 INSANO DA AGRONOVA G FANO 2762 33.73 67 3% -0.310 49 0,1% -0.229 54 6% 5.20 64 2% 0.67 64 5% 35.98 44 0,5%",33.73,67,3%,3.0,-0.31,49,"0,1%",0.1,-0.229,54,6%,6.0,5.2,64,2%,2.0,0.67,64,5%,5.0,35.98,44,"0,5%",0.5,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FANO 3341,12/20,ESPECIME DA AGRONOVA,G,COL 25550,30,"FANO 3341 12/20 ESPECIME DA AGRONOVA G COL 25550 29.16 63 6% -0.310 44 0,1% -0.340 48 0,5% 2.94 62 14% 0.19 60 22% 27.27 42 7%",29.16,63,6%,6.0,-0.31,44,"0,1%",0.1,-0.34,48,"0,5%",0.5,2.94,62,14%,14.0,0.19,60,22%,22.0,27.27,42,7%,7.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MMVA 5037,08/21,5037 FIV DA JACAMIM,G,MMVA 2674,30,"MMVA 5037 08/21 5037 FIV DA JACAMIM G MMVA 2674 22.68 66 14% -0.310 34 0,1% -0.370 38 0,1% 1.90 31 25% 0.45 63 10% 25.61 31 9%",22.68,66,14%,14.0,-0.31,34,"0,1%",0.1,-0.37,38,"0,1%",0.1,1.9,31,25%,25.0,0.45,63,10%,10.0,25.61,31,9%,9.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,RDM A4694,09/20,A4694 MAT.,G,RDM 9990,30,"RDM A4694 09/20 A4694 MAT. G RDM 9990 26.00 69 9% -0.309 43 0,1% -0.253 48 4% 3.72 66 8% 0.42 63 11% 25.35 47 9%",26.0,69,9%,9.0,-0.309,43,"0,1%",0.1,-0.253,48,4%,4.0,3.72,66,8%,8.0,0.42,63,11%,11.0,25.35,47,9%,9.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,ACF 3522,11/14,ADAMO FIV KUBERA,G,LBMN D4685,30,"ACF 3522 11/14 ADAMO FIV KUBERA G LBMN D4685 20.69 90 18% -0.307 39 0,1% -0.347 44 0,5% 2.11 78 22% 0.42 75 11% 20.68 59 17%",20.69,90,18%,18.0,-0.307,39,"0,1%",0.1,-0.347,44,"0,5%",0.5,2.11,78,22%,22.0,0.42,75,11%,11.0,20.68,59,17%,17.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MFBN 6122,10/18,QUIARO G.SALES,G,LBMN D4685,30,"MFBN 6122 10/18 QUIARO G.SALES G LBMN D4685 12.11 65 40% -0.307 32 0,1% -0.460 35 0,1% 1.89 59 25% 0.57 59 7% 17.42 45 24%",12.11,65,40%,40.0,-0.307,32,"0,1%",0.1,-0.46,35,"0,1%",0.1,1.89,59,25%,25.0,0.57,59,7%,7.0,17.42,45,24%,24.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,IZSN A3043,09/12,MACEGAL DO IZ,G,IZSN A1722,30,"IZSN A3043 09/12 MACEGAL DO IZ G IZSN A1722 19.71 91 20% -0.301 55 0,1% -0.216 61 8% 2.65 83 17% 0.31 83 15% 20.00 66 19%",19.71,91,20%,20.0,-0.301,55,"0,1%",0.1,-0.216,61,8%,8.0,2.65,83,17%,17.0,0.31,83,15%,15.0,20.0,66,19%,19.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,COLM 3419,10/14,OCEANARIO COL,G,REM 5531,30,"COLM 3419 10/14 OCEANARIO COL G REM 5531 19.06 86 21% -0.301 36 0,1% -0.418 41 0,1% 2.18 71 22% 0.25 70 18% 17.33 51 25%",19.06,86,21%,21.0,-0.301,36,"0,1%",0.1,-0.418,41,"0,1%",0.1,2.18,71,22%,22.0,0.25,70,18%,18.0,17.33,51,25%,25.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,JCGG 13728,01/19,FIV 13728 DA AGUA FRI,G,LBMN D4685,30,"JCGG 13728 01/19 FIV 13728 DA AGUA FRI G LBMN D4685 20.47 58 18% -0.300 62 0,1% -0.350 31 0,5% 2.58 58 18% 0.46 55 10% 23.58 42 12%",20.47,58,18%,18.0,-0.3,62,"0,1%",0.1,-0.35,31,"0,5%",0.5,2.58,58,18%,18.0,0.46,55,10%,10.0,23.58,42,12%,12.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,PAU 6933,09/25,VERSO FIV DA PAULETE,G,PAU 6018,30,"PAU 6933 09/25 VERSO FIV DA PAULETE G PAU 6018 42.47 44 0,1% -0.300 48 0,1% -0.141 46 39% 5.05 35 3% 0.10 37 34% 38.27 32 0,1%",42.47,44,"0,1%",0.1,-0.3,48,"0,1%",0.1,-0.141,46,39%,39.0,5.05,35,3%,3.0,0.1,37,34%,34.0,38.27,32,"0,1%",0.1,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,HORA 5984,10/21,5984 TE DA HORA,G,HORA 3150,30,"HORA 5984 10/21 5984 TE DA HORA G HORA 3150 31.80 72 4% -0.300 45 0,1% -0.300 49 2% 4.78 68 3% 0.18 65 23% 29.41 51 5%",31.8,72,4%,4.0,-0.3,45,"0,1%",0.1,-0.3,49,2%,2.0,4.78,68,3%,3.0,0.18,65,23%,23.0,29.41,51,5%,5.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,RDM A8977,06/23,IPUAN MAT.,G,RDM A3560,30,"RDM A8977 06/23 IPUAN MAT. G RDM A3560 29.99 64 5% -0.300 41 0,1% -0.250 46 4% 4.36 62 5% 0.33 59 15% 30.10 41 4%",29.99,64,5%,5.0,-0.3,41,"0,1%",0.1,-0.25,46,4%,4.0,4.36,62,5%,5.0,0.33,59,15%,15.0,30.1,41,4%,4.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,GRI C471,12/19,C471 FIV DA S.NICE,G,LBMN D4685,30,"GRI C471 12/19 C471 FIV DA S.NICE G LBMN D4685 17.41 72 25% -0.300 40 0,1% -0.371 44 0,1% 2.99 67 14% 0.92 66 2% 23.56 46 12%",17.41,72,25%,25.0,-0.3,40,"0,1%",0.1,-0.371,44,"0,1%",0.1,2.99,67,14%,14.0,0.92,66,2%,2.0,23.56,46,12%,12.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MBO 4345,12/15,MBO4345 FIV DE MARIPA,G,LBMN D4685,30,"MBO 4345 12/15 MBO4345 FIV DE MARIPA G LBMN D4685 14.05 63 34% -0.300 33 0,1% -0.330 37 0,5% 0.75 62 50% 0.34 60 14% 18.23 47 22%",14.05,63,34%,34.0,-0.3,33,"0,1%",0.1,-0.33,37,"0,5%",0.5,0.75,62,50%,50.0,0.34,60,14%,14.0,18.23,47,22%,22.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FANO 3362,12/20,ESCORPIAO DA AGRONOVA,G,COL 25550,30,"FANO 3362 12/20 ESCORPIAO DA AGRONOVA G COL 25550 28.37 63 6% -0.290 43 0,1% -0.320 47 1% 3.23 62 12% 0.27 60 17% 27.11 41 7%",28.37,63,6%,6.0,-0.29,43,"0,1%",0.1,-0.32,47,1%,1.0,3.23,62,12%,12.0,0.27,60,17%,17.0,27.11,41,7%,7.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FLPE 13864,08/24,13864 FIV DA COMETA,G,EAO B1828,30,"FLPE 13864 08/24 13864 FIV DA COMETA G EAO B1828 31.89 63 4% -0.290 37 0,1% -0.210 39 9% 3.38 59 11% 0.50 60 9% 29.01 42 5%",31.89,63,4%,4.0,-0.29,37,"0,1%",0.1,-0.21,39,9%,9.0,3.38,59,11%,11.0,0.5,60,9%,9.0,29.01,42,5%,5.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,ROPP 290,12/23,ELLE FIV DA MATUTINA,G,EAO B5212,30,"ROPP 290 12/23 ELLE FIV DA MATUTINA G EAO B5212 28.66 62 6% -0.290 35 0,1% -0.220 38 8% 2.51 57 18% 0.28 56 17% 26.64 38 8%",28.66,62,6%,6.0,-0.29,35,"0,1%",0.1,-0.22,38,8%,8.0,2.51,57,18%,18.0,0.28,56,17%,17.0,26.64,38,8%,8.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MBO 8934,06/19,8934 FIV DE MARIPA,G,RDM 6023,30,"MBO 8934 06/19 8934 FIV DE MARIPA G RDM 6023 23.22 69 13% -0.290 34 0,1% -0.350 38 0,5% 4.58 62 4% 0.24 61 19% 24.73 45 10%",23.22,69,13%,13.0,-0.29,34,"0,1%",0.1,-0.35,38,"0,5%",0.5,4.58,62,4%,4.0,0.24,61,19%,19.0,24.73,45,10%,10.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,EAON 6842,09/24,N6842 FIV EAO,G,LBMN D4685,30,"EAON 6842 09/24 N6842 FIV EAO G LBMN D4685 17.33 65 25% -0.290 33 0,1% -0.320 36 1% 1.59 60 29% 0.62 59 6% 21.43 46 16%",17.33,65,25%,25.0,-0.29,33,"0,1%",0.1,-0.32,36,1%,1.0,1.59,60,29%,29.0,0.62,59,6%,6.0,21.43,46,16%,16.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,MMAR 4423,09/24,4423 FIV DA MARCONDES,G,BONS 4404,30,"MMAR 4423 09/24 4423 FIV DA MARCONDES G BONS 4404 33.08 58 3% -0.290 30 0,1% -0.060 34 79% 4.36 52 5% 1.13 52 1% 36.22 36 0,1%",33.08,58,3%,3.0,-0.29,30,"0,1%",0.1,-0.06,34,79%,79.0,4.36,52,5%,5.0,1.13,52,1%,1.0,36.22,36,"0,1%",0.1,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FZNM 10068,10/17,MARATA 10068,G,RDM 8020,30,"FZNM 10068 10/17 MARATA 10068 G RDM 8020 39.10 69 0,5% -0.287 39 0,1% -0.241 42 5% 3.66 63 9% 0.29 30 16% 29.25 30 5%",39.1,69,"0,5%",0.5,-0.287,39,"0,1%",0.1,-0.241,42,5%,5.0,3.66,63,9%,9.0,0.29,30,16%,16.0,29.25,30,5%,5.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,WKN 571,08/14,571 FIV DA ARACA,G,LBMN D4685,30,"WKN 571 08/14 571 FIV DA ARACA G LBMN D4685 17.89 75 24% -0.287 39 0,1% -0.432 43 0,1% 2.09 69 23% 0.52 68 8% 24.77 50 10%",17.89,75,24%,24.0,-0.287,39,"0,1%",0.1,-0.432,43,"0,1%",0.1,2.09,69,23%,23.0,0.52,68,8%,8.0,24.77,50,10%,10.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,GREN C5498,07/21,C5498 FIV DA GREN.,G,LBMN D4685,30,"GREN C5498 07/21 C5498 FIV DA GREN. G LBMN D4685 18.41 63 23% -0.284 32 0,1% -0.387 35 0,1% 1.64 58 28% 0.57 57 7% 22.40 45 14%",18.41,63,23%,23.0,-0.284,32,"0,1%",0.1,-0.387,35,"0,1%",0.1,1.64,58,28%,28.0,0.57,57,7%,7.0,22.4,45,14%,14.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,AGZ 1940,08/21,AGZ1940,G,REM 5531,30,"AGZ 1940 08/21 AGZ1940 G REM 5531 16.79 69 26% -0.283 37 0,1% -0.496 40 0,1% 1.27 63 34% 0.43 60 11% 18.84 48 21%",16.79,69,26%,26.0,-0.283,37,"0,1%",0.1,-0.496,40,"0,1%",0.1,1.27,63,34%,34.0,0.43,60,11%,11.0,18.84,48,21%,21.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FANO 4384,09/22,GALAN DA AGRONOVA,G,KAT 3881,30,"FANO 4384 09/22 GALAN DA AGRONOVA G KAT 3881 27.81 69 7% -0.280 51 0,1% -0.290 55 2% 3.91 66 7% 0.36 65 13% 28.91 45 5%",27.81,69,7%,7.0,-0.28,51,"0,1%",0.1,-0.29,55,2%,2.0,3.91,66,7%,7.0,0.36,65,13%,13.0,28.91,45,5%,5.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,RDM A3560,07/20,FEDERAL MAT.,G,REMC 8332,30,"RDM A3560 07/20 FEDERAL MAT. G REMC 8332 36.49 67 1% -0.280 48 0,1% -0.078 53 72% 6.07 65 1% 0.19 64 22% 31.92 47 3%",36.49,67,1%,1.0,-0.28,48,"0,1%",0.1,-0.078,53,72%,72.0,6.07,65,1%,1.0,0.19,64,22%,22.0,31.92,47,3%,3.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,FANO 3376,12/20,ELETRONICO DA AGRONOV,G,COL 25550,30,"FANO 3376 12/20 ELETRONICO DA AGRONOV G COL 25550 26.70 62 8% -0.280 45 0,1% -0.290 50 2% 2.91 61 15% 0.29 60 16% 26.99 42 7%",26.7,62,8%,8.0,-0.28,45,"0,1%",0.1,-0.29,50,2%,2.0,2.91,61,15%,15.0,0.29,60,16%,16.0,26.99,42,7%,7.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,EAO B1667,08/19,1667 FIV DA EAO,G,LBMN D4685,30,"EAO B1667 08/19 1667 FIV DA EAO G LBMN D4685 20.85 68 18% -0.280 45 0,1% -0.530 48 0,1% 2.03 65 23% 0.92 64 2% 26.84 49 7%",20.85,68,18%,18.0,-0.28,45,"0,1%",0.1,-0.53,48,"0,1%",0.1,2.03,65,23%,23.0,0.92,64,2%,2.0,26.84,49,7%,7.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,HORA 7140,12/22,7140 TE DA HORA,G,BONS 3108,30,"HORA 7140 12/22 7140 TE DA HORA G BONS 3108 26.82 67 8% -0.280 45 0,1% -0.320 49 1% 4.04 63 7% 0.27 62 17% 28.51 50 5%",26.82,67,8%,8.0,-0.28,45,"0,1%",0.1,-0.32,49,1%,1.0,4.04,63,7%,7.0,0.27,62,17%,17.0,28.51,50,5%,5.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
Nelore,JNM 6302,10/22,6302 FIV DE URUCU,G,RDM A1335,30,"JNM 6302 10/22 6302 FIV DE URUCU G RDM A1335 30.16 73 5% -0.280 42 0,1% -0.250 45 4% 4.60 64 4% 0.65 63 6% 29.95 48 4%",30.16,73,5%,5.0,-0.28,42,"0,1%",0.1,-0.25,45,4%,4.0,4.6,64,4%,4.0,0.65,63,6%,6.0,29.95,48,4%,4.0,"P450,CAR,IMS,AOL,ACAB,MGTe"
