breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,MGZ019040,02/18,ASP CABAL TE,G,CNS 7696,38,"MGZ019040 02/18 ASP CABAL TE G CNS 7696 34.62 39 3% 25.94 45 0,5% 106 2 32.15 39 0,5%",34.62,39,3%,3.0,25.94,45,"0,5%",0.5,32.15,39,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,38,FNF A471 11/09 GRAFICO FIV NF G MVB 20 38.13 31 1% 10.54 39 13% 209 1 29.98 31 2%,38.13,31,1%,1.0,10.54,39,13%,13.0,29.98,31,2%,2.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,ITVT 1064,11/16,GUZERA IT 1064,G,RPOG 171,38,"ITVT 1064 11/16 GUZERA IT 1064 G RPOG 171 31.05 42 7% 23.99 45 0,5% 26 1 29.01 42 2%",31.05,42,7%,7.0,23.99,45,"0,5%",0.5,29.01,42,2%,2.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,CNS 7222,09/06,ANJO S,G,CNS 5827,38,CNS 7222 09/06 ANJO S G CNS 5827 33.95 38 3% 12.97 54 7% 253 15 27.80 38 3%,33.95,38,3%,3.0,12.97,54,7%,7.0,27.8,38,3%,3.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,ICIL 867,08/16,QUARTEL FIV DA ICIL,G,NESZ 776,38,ICIL 867 08/16 QUARTEL FIV DA ICIL G NESZ 776 35.15 37 2% 9.70 46 16% 60 5 27.69 37 3%,35.15,37,2%,2.0,9.7,46,16%,16.0,27.69,37,3%,3.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,FNF A753,03/10,HAMAL NF,G,TABO 866,38,FNF A753 03/10 HAMAL NF G TABO 866 35.91 38 2% 6.44 39 30% 56 1 27.15 38 4%,35.91,38,2%,2.0,6.44,39,30%,30.0,27.15,38,4%,4.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,FNF 9490,10/07,ENXOVAL FIV NF,G,HQB 258,38,FNF 9490 10/07 ENXOVAL FIV NF G HQB 258 29.96 35 9% 17.68 38 2% 114 2 26.37 35 5%,29.96,35,9%,9.0,17.68,38,2%,2.0,26.37,35,5%,5.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,OJA 134,08/10,IOIO OJ,G,ROES 84,38,OJA 134 08/10 IOIO OJ G ROES 84 32.25 39 5% 10.14 66 14% 441 13 25.67 39 6%,32.25,39,5%,5.0,10.14,66,14%,14.0,25.67,39,6%,6.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,HEMC 358,05/13,FOCUS DA HE,G,RPOG 94,38,HEMC 358 05/13 FOCUS DA HE G RPOG 94 26.75 38 16% 20.23 52 1% 225 4 24.90 38 7%,26.75,38,16%,16.0,20.23,52,1%,1.0,24.9,38,7%,7.0,"MGTe_CR,MGTe_RE,MGTe"
Guzerá,MGZ017958,09/17,ASP BOHIO TE,G,CNS 7696,38,MGZ017958 09/17 ASP BOHIO TE G CNS 7696 30.88 42 7% 10.46 40 13% 42 1 24.86 40 7%,30.88,42,7%,7.0,10.46,40,13%,13.0,24.86,40,7%,7.0,"MGTe_CR,MGTe_RE,MGTe"
