breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,ITVT 1498,08/19,GUZERA IT 1498,G,ITVT 233,45,"ITVT 1498 08/19 GUZERA IT 1498 G ITVT 233 -0.80 45 1% 17.10 40 3% 0.47 68 79% 3.72 72 0,1% 0.21 69 28% 62 1 24.39 40 8%",-0.8,45,1%,1.0,17.1,40,3%,3.0,0.47,68,79%,79.0,3.72,72,"0,1%",0.1,0.21,69,28%,28.0,24.39,40,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,OJA 134,08/10,IOIO OJ,G,ROES 84,45,"OJA 134 08/10 IOIO OJ G ROES 84 -0.93 41 0,5% 4.52 66 47% 2.69 87 5% 3.05 83 0,5% -0.40 82 99% 367 4 25.67 39 6%",-0.93,41,"0,5%",0.5,4.52,66,47%,47.0,2.69,87,5%,5.0,3.05,83,"0,5%",0.5,-0.4,82,99%,99.0,25.67,39,6%,6.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,HQB 6465,10/16,MARCA SOL TRICAMPEAO,,HQB 2904,45,"HQB 6465 10/16 MARCA SOL TRICAMPEAO HQB 2904 -0.35 14 16% 3.51 2 53% 3.05 62 2% 2.68 47 0,5% 0.25 43 22% 28 1 29.62 2 2%",-0.35,14,16%,16.0,3.51,2,53%,53.0,3.05,62,2%,2.0,2.68,47,"0,5%",0.5,0.25,43,22%,22.0,29.62,2,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,HPD 1491,10/19,BACKGROUND,,ITG 1235,45,"HPD 1491 10/19 BACKGROUND ITG 1235 -1.03 13 0,5% 20.16 32 1% 1.94 32 21% 2.53 35 1% 0.32 32 12% 5 1 30.62 13 1%",-1.03,13,"0,5%",0.5,20.16,32,1%,1.0,1.94,32,21%,21.0,2.53,35,1%,1.0,0.32,32,12%,12.0,30.62,13,1%,1.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,HEMC 358,05/13,FOCUS DA HE,G,RPOG 94,45,HEMC 358 05/13 FOCUS DA HE G RPOG 94 -0.23 38 25% 14.27 52 7% 2.38 79 10% 2.23 77 1% 0.44 76 4% 184 1 24.90 38 7%,-0.23,38,25%,25.0,14.27,52,7%,7.0,2.38,79,10%,10.0,2.23,77,1%,1.0,0.44,76,4%,4.0,24.9,38,7%,7.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,ITVT 1404,09/18,GUZERA IT 1404,G,HEMC 358,45,ITVT 1404 09/18 GUZERA IT 1404 G HEMC 358 0.18 33 85% 13.06 47 9% 0.77 67 61% 2.21 73 1% 0.57 70 1% 83 2 22.14 33 14%,0.18,33,85%,85.0,13.06,47,9%,9.0,0.77,67,61%,61.0,2.21,73,1%,1.0,0.57,70,1%,1.0,22.14,33,14%,14.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,ITVT 1064,11/16,GUZERA IT 1064,G,RPOG 171,45,ITVT 1064 11/16 GUZERA IT 1064 G RPOG 171 -0.75 44 2% 20.20 45 1% 1.46 54 39% 2.06 57 2% 0.42 54 5% 30 1 29.01 42 2%,-0.75,44,2%,2.0,20.2,45,1%,1.0,1.46,54,39%,39.0,2.06,57,2%,2.0,0.42,54,5%,5.0,29.01,42,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,ITVT 953,06/16,GUZERA IT 953,,ITG 3164,45,ITVT 953 06/16 GUZERA IT 953 ITG 3164 -0.65 8 3% 15.20 33 5% -0.43 38 100% 1.97 35 2% -0.24 32 93% 5 1 19.18 8 23%,-0.65,8,3%,3.0,15.2,33,5%,5.0,-0.43,38,100%,100.0,1.97,35,2%,2.0,-0.24,32,93%,93.0,19.18,8,23%,23.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,ITG 3164,04/10,ACIDO TE IT,G,NESZ 2,45,ITG 3164 04/10 ACIDO TE IT G NESZ 2 -0.16 45 31% 16.23 50 4% 1.82 63 25% 1.70 61 3% -0.12 58 82% 39 1 21.07 43 17%,-0.16,45,31%,31.0,16.23,50,4%,4.0,1.82,63,25%,25.0,1.7,61,3%,3.0,-0.12,58,82%,82.0,21.07,43,17%,17.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,CNS 7222,09/06,ANJO S,G,CNS 5827,45,CNS 7222 09/06 ANJO S G CNS 5827 -0.16 38 31% 13.27 54 9% 2.86 80 4% 1.28 63 6% -0.12 61 82% 50 4 27.80 38 3%,-0.16,38,31%,31.0,13.27,54,9%,9.0,2.86,80,4%,4.0,1.28,63,6%,6.0,-0.12,61,82%,82.0,27.8,38,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Guzerá,CNSJ 269,11/12,ESPIAO S,,IVAG 1058,45,"CNSJ 269 11/12 ESPIAO S IVAG 1058 -0.09 18 40% 23.85 21 0,5% 1.91 65 22% 0.92 34 10% 0.23 30 25% 11 1 31.24 10 1%",-0.09,18,40%,40.0,23.85,21,"0,5%",0.5,1.91,65,22%,22.0,0.92,34,10%,10.0,0.23,30,25%,25.0,31.24,10,1%,1.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
