breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,PACdep,PACac,PACtop,PACtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,120878EE,08/12,120878 DE,,ESPIRITU 090726EE,54,"120878EE 08/12 120878 DE ESPIRITU 090726EE 0.15 35 96% 88.79 49 0,1% 1.47 35 14% 10.66 19 13% 0.41 62 26% 47 0 15.92 10 4%",0.15,35,96%,96.0,88.79,49,"0,1%",0.1,1.47,35,14%,14.0,10.66,19,13%,13.0,0.41,62,26%,26.0,15.92,10,4%,4.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,131159EE,09/13,131159 DE,,ESPIRITU 071544EE,54,"131159EE 09/13 131159 DE ESPIRITU 071544EE 0.14 27 96% 85.68 38 0,1% 2.02 28 7% 4.52 19 67% 0.45 73 21% 32 0 16.19 8 3%",0.14,27,96%,96.0,85.68,38,"0,1%",0.1,2.02,28,7%,7.0,4.52,19,67%,67.0,0.45,73,21%,21.0,16.19,8,3%,3.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,110766EE,09/11,110766 DE,,ESPIRITU 080171EE,54,"110766EE 09/11 110766 DE ESPIRITU 080171EE -0.23 18 57% 81.84 25 0,1% 0.73 19 36% 2.54 19 82% -0.05 36 85% 7 0 9.74 14 21%",-0.23,18,57%,57.0,81.84,25,"0,1%",0.1,0.73,19,36%,36.0,2.54,19,82%,82.0,-0.05,36,85%,85.0,9.74,14,21%,21.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,130203EE,08/13,130203 DE,,ESPIRITU 091010EE,54,"130203EE 08/13 130203 DE ESPIRITU 091010EE 0.31 38 99% 81.76 52 0,1% 2.52 35 5% 5.12 20 61% 0.66 70 4% 65 0 11.48 8 14%",0.31,38,99%,99.0,81.76,52,"0,1%",0.1,2.52,35,5%,5.0,5.12,20,61%,61.0,0.66,70,4%,4.0,11.48,8,14%,14.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,130493EE,08/13,130493 DE,,ESPIRITU 051897EE,54,"130493EE 08/13 130493 DE ESPIRITU 051897EE -0.10 26 75% 81.13 36 0,1% 2.03 25 7% 3.75 11 74% -0.25 58 96% 22 0 7.93 10 31%",-0.1,26,75%,75.0,81.13,36,"0,1%",0.1,2.03,25,7%,7.0,3.75,11,74%,74.0,-0.25,58,96%,96.0,7.93,10,31%,31.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,070301EE,08/07,070301 DE,,ESPIRITU 980609EE,54,"070301EE 08/07 070301 DE ESPIRITU 980609EE 0.48 22 100% 80.87 33 0,1% 1.26 23 18% 3.35 8 77% 0.31 31 39% 14 0 9.77 8 21%",0.48,22,100%,100.0,80.87,33,"0,1%",0.1,1.26,23,18%,18.0,3.35,8,77%,77.0,0.31,31,39%,39.0,9.77,8,21%,21.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,121319EE,09/12,121319 DE,,ESPIRITU 090665EE,54,"121319EE 09/12 121319 DE ESPIRITU 090665EE 0.45 16 100% 80.69 26 0,1% 2.72 17 4% 9.29 36 18% -0.24 46 96% 8 0 14.80 8 5%",0.45,16,100%,100.0,80.69,26,"0,1%",0.1,2.72,17,4%,4.0,9.29,36,18%,18.0,-0.24,46,96%,96.0,14.8,8,5%,5.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,090665EE,08/09,090665 DE,,ESPIRITU 061210EE,54,"090665EE 08/09 090665 DE ESPIRITU 061210EE 0.24 30 98% 80.01 47 0,1% 2.64 31 4% 7.10 31 30% 1.04 45 2% 34 0 18.39 15 1%",0.24,30,98%,98.0,80.01,47,"0,1%",0.1,2.64,31,4%,4.0,7.1,31,30%,30.0,1.04,45,2%,2.0,18.39,15,1%,1.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,091115EE,09/09,091115 DE,,ESPIRITU 021225EE,54,"091115EE 09/09 091115 DE ESPIRITU 021225EE 0.39 22 100% 79.65 31 0,1% 0.77 22 34% 12.24 36 8% 0.63 38 6% 13 0 19.06 10 1%",0.39,22,100%,100.0,79.65,31,"0,1%",0.1,0.77,22,34%,34.0,12.24,36,8%,8.0,0.63,38,6%,6.0,19.06,10,1%,1.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,081095EE,09/08,081095 DE,,ESPIRITU 020072EE,54,"081095EE 09/08 081095 DE ESPIRITU 020072EE 0.22 33 98% 79.60 46 0,1% 1.62 31 12% 7.50 4 28% -0.45 52 100% 39 0 11.33 4 14%",0.22,33,98%,98.0,79.6,46,"0,1%",0.1,1.62,31,12%,12.0,7.5,4,28%,28.0,-0.45,52,100%,100.0,11.33,4,14%,14.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,120151EE,08/12,120151 DE,,ESPIRITU 091010EE,54,"120151EE 08/12 120151 DE ESPIRITU 091010EE 0.68 36 100% 79.47 52 0,1% 1.60 36 12% 2.96 30 79% 0.62 62 7% 49 0 7.29 11 36%",0.68,36,100%,100.0,79.47,52,"0,1%",0.1,1.6,36,12%,12.0,2.96,30,79%,79.0,0.62,62,7%,7.0,7.29,11,36%,36.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,150533EE,08/15,150533 DE,,ESPIRITU 120151EE,54,"150533EE 08/15 150533 DE ESPIRITU 120151EE 0.84 32 100% 79.38 42 0,1% 1.26 25 18% 17.79 46 1% 0.87 64 2% 27 0 19.60 14 0,5%",0.84,32,100%,100.0,79.38,42,"0,1%",0.1,1.26,25,18%,18.0,17.79,46,1%,1.0,0.87,64,2%,2.0,19.6,14,"0,5%",0.5,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,141466EE,09/14,141466 DE,,ESPIRITU 070178EE,54,"141466EE 09/14 141466 DE ESPIRITU 070178EE 0.20 34 98% 79.25 40 0,1% 1.87 31 9% 12.27 43 8% -0.08 73 87% 37 0 14.16 11 7%",0.2,34,98%,98.0,79.25,40,"0,1%",0.1,1.87,31,9%,9.0,12.27,43,8%,8.0,-0.08,73,87%,87.0,14.16,11,7%,7.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,061075EE,08/06,061075 DE,,ESPIRITU 991889EE,54,"061075EE 08/06 061075 DE ESPIRITU 991889EE 0.00 27 85% 79.14 38 0,1% 1.67 27 11% 3.54 23 75% 0.23 37 51% 28 0 8.13 12 30%",0.0,27,85%,85.0,79.14,38,"0,1%",0.1,1.67,27,11%,11.0,3.54,23,75%,75.0,0.23,37,51%,51.0,8.13,12,30%,30.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,110542EE,08/11,110542 DE,,ESPIRITU 080171EE,54,"110542EE 08/11 110542 DE ESPIRITU 080171EE 0.10 20 94% 78.91 27 0,1% 1.26 18 18% 12.81 13 6% 0.53 42 13% 10 0 15.70 13 4%",0.1,20,94%,94.0,78.91,27,"0,1%",0.1,1.26,18,18%,18.0,12.81,13,6%,6.0,0.53,42,13%,13.0,15.7,13,4%,4.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,110116EE,07/11,110116 DE,,ESPIRITU 070178EE,54,"110116EE 07/11 110116 DE ESPIRITU 070178EE 0.18 18 97% 78.83 25 0,1% 2.24 19 6% 3.97 10 72% -0.23 35 96% 6 0 8.58 10 27%",0.18,18,97%,97.0,78.83,25,"0,1%",0.1,2.24,19,6%,6.0,3.97,10,72%,72.0,-0.23,35,96%,96.0,8.58,10,27%,27.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,061210EE,09/06,061210 DE,,ESPIRITU 021211EE,54,"061210EE 09/06 061210 DE ESPIRITU 021211EE 0.41 37 100% 78.41 48 0,1% 2.31 38 5% 9.05 25 19% 0.64 46 5% 35 0 16.77 13 3%",0.41,37,100%,100.0,78.41,48,"0,1%",0.1,2.31,38,5%,5.0,9.05,25,19%,19.0,0.64,46,5%,5.0,16.77,13,3%,3.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,121827EE,09/12,121827 DE,,ESPIRITU 040479EE,54,"121827EE 09/12 121827 DE ESPIRITU 040479EE 0.12 21 95% 78.38 27 0,1% 2.31 19 5% 7.30 16 29% 0.34 42 35% 12 0 14.00 8 7%",0.12,21,95%,95.0,78.38,27,"0,1%",0.1,2.31,19,5%,5.0,7.3,16,29%,29.0,0.34,42,35%,35.0,14.0,8,7%,7.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,110158EE,07/11,110158 DE,,ESPIRITU 081095EE,54,"110158EE 07/11 110158 DE ESPIRITU 081095EE 0.40 14 100% 78.31 20 0,1% 1.78 14 10% 6.41 13 36% -0.21 40 95% 5 0 12.34 11 11%",0.4,14,100%,100.0,78.31,20,"0,1%",0.1,1.78,14,10%,10.0,6.41,13,36%,36.0,-0.21,40,95%,95.0,12.34,11,11%,11.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,091227EE,09/09,091227 DE,,ESPIRITU 061210EE,54,"091227EE 09/09 091227 DE ESPIRITU 061210EE 0.12 22 95% 78.29 34 0,1% 1.77 23 10% 5.32 43 58% -0.17 41 93% 18 0 9.88 11 20%",0.12,22,95%,95.0,78.29,34,"0,1%",0.1,1.77,23,10%,10.0,5.32,43,58%,58.0,-0.17,41,93%,93.0,9.88,11,20%,20.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,110510EE,08/11,110510 DE,,ESPIRITU 040703EE,54,"110510EE 08/11 110510 DE ESPIRITU 040703EE 0.04 20 90% 77.92 26 0,5% 1.66 19 11% 6.71 45 33% 0.99 52 2% 13 0 16.84 11 3%",0.04,20,90%,90.0,77.92,26,"0,5%",0.5,1.66,19,11%,11.0,6.71,45,33%,33.0,0.99,52,2%,2.0,16.84,11,3%,3.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,120238EE,08/12,120238 DE,,ESPIRITU 091010EE,54,"120238EE 08/12 120238 DE ESPIRITU 091010EE 0.15 19 96% 77.89 23 0,5% 0.91 16 29% 7.48 30 28% -0.08 49 87% 11 0 14.33 12 6%",0.15,19,96%,96.0,77.89,23,"0,5%",0.5,0.91,16,29%,29.0,7.48,30,28%,28.0,-0.08,49,87%,87.0,14.33,12,6%,6.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,070035EE,07/07,070035 DE,,ESPIRITU 990226EE,54,"070035EE 07/07 070035 DE ESPIRITU 990226EE 0.07 22 93% 77.11 31 0,5% 0.40 21 50% 4.52 19 67% 0.42 34 24% 13 0 10.49 17 18%",0.07,22,93%,93.0,77.11,31,"0,5%",0.5,0.4,21,50%,50.0,4.52,19,67%,67.0,0.42,34,24%,24.0,10.49,17,18%,18.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,110332EE,08/11,110332 DE,,ESPIRITU 021225EE,54,"110332EE 08/11 110332 DE ESPIRITU 021225EE 0.20 28 98% 77.08 40 0,5% 2.19 28 6% 7.22 35 30% 0.72 58 3% 28 0 17.60 9 2%",0.2,28,98%,98.0,77.08,40,"0,5%",0.5,2.19,28,6%,6.0,7.22,35,30%,30.0,0.72,58,3%,3.0,17.6,9,2%,2.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,121951EE,10/12,121951 DE,,ESPIRITU 090668EE,54,"121951EE 10/12 121951 DE ESPIRITU 090668EE 0.11 14 94% 77.03 21 0,5% 2.78 14 4% 8.93 14 20% -0.11 37 89% 8 0 16.08 14 3%",0.11,14,94%,94.0,77.03,21,"0,5%",0.5,2.78,14,4%,4.0,8.93,14,20%,20.0,-0.11,37,89%,89.0,16.08,14,3%,3.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,150563EE,09/15,150563 DE,,ESPIRITU 070178EE,54,"150563EE 09/15 150563 DE ESPIRITU 070178EE 0.37 33 100% 76.15 37 0,5% 2.12 28 7% 7.96 41 25% 0.47 73 19% 25 0 14.93 14 5%",0.37,33,100%,100.0,76.15,37,"0,5%",0.5,2.12,28,7%,7.0,7.96,41,25%,25.0,0.47,73,19%,19.0,14.93,14,5%,5.0,"IPP,STAY,PAC,P450,PE365,MGTe"
Brahman,100540EE,08/10,100540 DE,,ESPIRITU 071464EE,54,"100540EE 08/10 100540 DE ESPIRITU 071464EE 0.50 22 100% 76.09 36 0,5% 0.68 22 38% 4.40 25 68% 0.85 40 2% 22 0 10.91 8 16%",0.5,22,100%,100.0,76.09,36,"0,5%",0.5,0.68,22,38%,38.0,4.4,25,68%,68.0,0.85,40,2%,2.0,10.91,8,16%,16.0,"IPP,STAY,PAC,P450,PE365,MGTe"
