breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,OBGP 5707,10/20,UCHOA OB,G,OBGP 3777,57,"OBGP 5707 10/20 UCHOA OB G OBGP 3777 -0.62 43 17% 10.81 44 0,1% 17.61 45 0,1% 25.46 50 0,1% 0.41 50 26% 13 1 26.24 42 0,1%",-0.62,43,17%,17.0,10.81,44,"0,1%",0.1,17.61,45,"0,1%",0.1,25.46,50,"0,1%",0.1,0.41,50,26%,26.0,26.24,42,"0,1%",0.1,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,CSCP 1533,07/19,1533 DE NAVIRAI,G,UBER 461,57,"CSCP 1533 07/19 1533 DE NAVIRAI G UBER 461 -0.18 41 65% 5.93 45 6% 12.46 48 0,5% 25.98 39 0,1% 0.50 51 16% 43 2 25.43 39 0,1%",-0.18,41,65%,65.0,5.93,45,6%,6.0,12.46,48,"0,5%",0.5,25.98,39,"0,1%",0.1,0.5,51,16%,16.0,25.43,39,"0,1%",0.1,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,OBGP 5818,02/21,TRIVOLE FIV OB,G,OBGP 1193,57,"OBGP 5818 02/21 TRIVOLE FIV OB G OBGP 1193 -0.53 43 24% 8.05 41 2% 12.20 41 0,5% 18.77 48 0,5% 0.39 41 28% 12 1 25.33 41 0,1%",-0.53,43,24%,24.0,8.05,41,2%,2.0,12.2,41,"0,5%",0.5,18.77,48,"0,5%",0.5,0.39,41,28%,28.0,25.33,41,"0,1%",0.1,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,NOG 3201,08/21,3201 FIV NOGAL DEL RI,G,WRRB 115,57,NOG 3201 08/21 3201 FIV NOGAL DEL RI G WRRB 115 -0.39 31 36% 4.33 47 12% 6.36 46 6% 14.76 46 3% 0.69 38 3% 11 1 18.67 31 1%,-0.39,31,36%,36.0,4.33,47,12%,12.0,6.36,46,6%,6.0,14.76,46,3%,3.0,0.69,38,3%,3.0,18.67,31,1%,1.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,GOOD 1413,11/08,GOOD BRAHMANIA,,1413 660295,57,GOOD 1413 11/08 GOOD BRAHMANIA 1413 660295 -0.22 24 59% 3.72 32 16% 6.34 41 6% 13.06 8 5% 0.46 53 20% 70 2 16.91 8 2%,-0.22,24,59%,59.0,3.72,32,16%,16.0,6.34,41,6%,6.0,13.06,8,5%,5.0,0.46,53,20%,20.0,16.91,8,2%,2.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,OBGP 3777,12/13,ATICO OB,G,OMBD 114,57,"OBGP 3777 12/13 ATICO OB G OMBD 114 -0.54 43 24% 7.89 65 2% 5.98 66 7% 19.97 71 0,5% 0.50 85 16% 373 4 10.80 43 16%",-0.54,43,24%,24.0,7.89,65,2%,2.0,5.98,66,7%,7.0,19.97,71,"0,5%",0.5,0.5,85,16%,16.0,10.8,43,16%,16.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,OBGP 4947,09/17,KEMBALI OB,G,OBGP 1193,57,OBGP 4947 09/17 KEMBALI OB G OBGP 1193 -0.54 31 24% 4.19 45 13% 5.82 46 7% 6.78 48 33% 0.41 73 26% 144 3 13.28 31 8%,-0.54,31,24%,24.0,4.19,45,13%,13.0,5.82,46,7%,7.0,6.78,48,33%,33.0,0.41,73,26%,26.0,13.28,31,8%,8.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,AMRO 480,07/10,MR BR 77 480,G,AMRO 95,57,AMRO 480 07/10 MR BR 77 480 G AMRO 95 -0.20 43 62% 7.98 49 2% 5.43 46 8% 12.09 38 9% -0.16 73 92% 186 5 10.62 38 17%,-0.2,43,62%,62.0,7.98,49,2%,2.0,5.43,46,8%,8.0,12.09,38,9%,9.0,-0.16,73,92%,92.0,10.62,38,17%,17.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,OBGP 1193,09/09,MATRIX OB,G,OBGP 367,57,OBGP 1193 09/09 MATRIX OB G OBGP 367 -0.55 59 23% 6.08 74 5% 5.27 76 8% 14.95 79 3% 0.28 86 44% 617 8 14.95 59 5%,-0.55,59,23%,23.0,6.08,74,5%,5.0,5.27,76,8%,8.0,14.95,79,3%,3.0,0.28,86,44%,44.0,14.95,59,5%,5.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,OBGP 5647,08/20,JAPENGO OB,G,OBGP 3777,57,OBGP 5647 08/20 JAPENGO OB G OBGP 3777 -0.57 43 21% 4.61 44 11% 5.22 49 8% 14.36 47 3% 0.48 50 18% 18 1 11.75 40 13%,-0.57,43,21%,21.0,4.61,44,11%,11.0,5.22,49,8%,8.0,14.36,47,3%,3.0,0.48,50,18%,18.0,11.75,40,13%,13.0,"IPP,P120,P210,P450,PE365,MGTe"
