breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,ALD 2413,11/16,BENEDITO DO COCA,G,MBF 1871,63,"ALD 2413 11/16 BENEDITO DO COCA G MBF 1871 -0.14 42 26% 3.76 46 0,5% 9.88 45 0,5% 33.67 46 0,1% 0.25 64 18% 71 6 29.46 42 1%",-0.14,42,26%,26.0,3.76,46,"0,5%",0.5,9.88,45,"0,5%",0.5,33.67,46,"0,1%",0.1,0.25,64,18%,18.0,29.46,42,1%,1.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,NGT 124,11/07,BEETHOVEN DA NGT,G,FEP 1034,63,"NGT 124 11/07 BEETHOVEN DA NGT G FEP 1034 -1.17 34 0,1% 0.31 43 70% 6.35 31 4% 19.04 36 1% 0.09 43 32% 13 4 26.84 31 2%",-1.17,34,"0,1%",0.1,0.31,43,70%,70.0,6.35,31,4%,4.0,19.04,36,1%,1.0,0.09,43,32%,32.0,26.84,31,2%,2.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,63,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 -0.46 47 5% 2.02 46 8% 5.46 31 6% 12.35 41 5% 0.51 45 9% 20 3 23.53 31 3%,-0.46,47,5%,5.0,2.02,46,8%,8.0,5.46,31,6%,6.0,12.35,41,5%,5.0,0.51,45,9%,9.0,23.53,31,3%,3.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,DORN 289,11/06,CERTEIRO FIV DA DORN,G,NYFP 1459,63,"DORN 289 11/06 CERTEIRO FIV DA DORN G NYFP 1459 -0.24 43 16% 3.47 52 0,5% 8.26 51 1% 20.27 42 0,5% 0.69 39 7% 11 2 21.75 39 4%",-0.24,43,16%,16.0,3.47,52,"0,5%",0.5,8.26,51,1%,1.0,20.27,42,"0,5%",0.5,0.69,39,7%,7.0,21.75,39,4%,4.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,NGT 507,01/09,DOBRADO FIV DA NGT,G,FEP 1034,63,NGT 507 01/09 DOBRADO FIV DA NGT G FEP 1034 -0.81 43 1% 1.73 32 14% 3.91 41 11% 7.16 44 16% -0.28 35 86% 10 2 21.59 32 4%,-0.81,43,1%,1.0,1.73,32,14%,14.0,3.91,41,11%,11.0,7.16,44,16%,16.0,-0.28,35,86%,86.0,21.59,32,4%,4.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,NGT 772,11/09,DGANO FIV DA NGT,G,1206,63,"NGT 772 11/09 DGANO FIV DA NGT G 1206 -0.38 33 8% 3.23 45 0,5% 5.45 51 6% 13.13 49 4% 0.04 39 39% 11 1 21.47 33 4%",-0.38,33,8%,8.0,3.23,45,"0,5%",0.5,5.45,51,6%,6.0,13.13,49,4%,4.0,0.04,39,39%,39.0,21.47,33,4%,4.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,63,"PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 -1.26 34 0,1% 0.77 50 42% 6.83 39 3% 13.38 55 3% 0.27 70 16% 105 5 20.80 34 5%",-1.26,34,"0,1%",0.1,0.77,50,42%,42.0,6.83,39,3%,3.0,13.38,55,3%,3.0,0.27,70,16%,16.0,20.8,34,5%,5.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,TJG 1015,10/16,HASTIL TJG,G,PRTA 325,63,"TJG 1015 10/16 HASTIL TJG G PRTA 325 -0.98 32 0,5% 0.11 50 84% 2.27 39 21% 4.38 43 26% 0.54 40 9% 27 1 19.05 32 6%",-0.98,32,"0,5%",0.5,0.11,50,84%,84.0,2.27,39,21%,21.0,4.38,43,26%,26.0,0.54,40,9%,9.0,19.05,32,6%,6.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,ALD 2105,01/14,VERISSIMO DO COCA,G,ALD 1119,63,ALD 2105 01/14 VERISSIMO DO COCA G ALD 1119 -0.40 38 7% -0.39 50 97% 4.10 50 11% 6.81 44 17% -0.53 41 100% 14 1 12.98 38 16%,-0.4,38,7%,7.0,-0.39,50,97%,97.0,4.1,50,11%,11.0,6.81,44,17%,17.0,-0.53,41,100%,100.0,12.98,38,16%,16.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,JCVZ 10,12/07,MAJESTOSO FIV,G,TABA R2198,63,JCVZ 10 12/07 MAJESTOSO FIV G TABA R2198 0.40 46 95% 0.48 38 58% 5.47 46 6% 5.17 42 22% 0.21 47 20% 30 1 12.66 38 16%,0.4,46,95%,95.0,0.48,38,58%,58.0,5.47,46,6%,6.0,5.17,42,22%,22.0,0.21,47,20%,20.0,12.66,38,16%,16.0,"IPP,MP120,P210,P450,PE365,MGTe"
Tabapuã,UZI 156,01/10,MANDELA FIV UZI,G,650,63,UZI 156 01/10 MANDELA FIV UZI G 650 -0.31 45 12% -1.84 46 100% -0.16 32 61% 0.93 47 64% -0.24 31 81% 15 1 7.30 31 29%,-0.31,45,12%,12.0,-1.84,46,100%,100.0,-0.16,32,61%,61.0,0.93,47,64%,64.0,-0.24,31,81%,81.0,7.3,31,29%,29.0,"IPP,MP120,P210,P450,PE365,MGTe"
