breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,NGT 801,11/09,DUTO DA NGT,G,MBF 1779,66,"NGT 801 11/09 DUTO DA NGT G MBF 1779 -0.37 43 8% 3.08 36 1% 87.49 36 0,1% 26.85 38 0,1% 20 0 27.08 31 2%",-0.37,43,8%,8.0,3.08,36,1%,1.0,87.49,36,"0,1%",0.1,26.85,38,"0,1%",0.1,27.08,31,2%,2.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,NGT 507,01/09,DOBRADO FIV DA NGT,G,FEP 1034,66,"NGT 507 01/09 DOBRADO FIV DA NGT G FEP 1034 -0.81 43 1% 1.73 32 14% 81.82 43 0,1% 7.16 44 16% 32 0 21.59 32 4%",-0.81,43,1%,1.0,1.73,32,14%,14.0,81.82,43,"0,1%",0.1,7.16,44,16%,16.0,21.59,32,4%,4.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,ALD 2413,11/16,BENEDITO DO COCA,G,MBF 1871,66,"ALD 2413 11/16 BENEDITO DO COCA G MBF 1871 -0.14 42 26% 3.76 46 0,5% 78.68 46 0,5% 33.67 46 0,1% 7 0 29.46 42 1%",-0.14,42,26%,26.0,3.76,46,"0,5%",0.5,78.68,46,"0,5%",0.5,33.67,46,"0,1%",0.1,29.46,42,1%,1.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,OEJ 102,01/11,SANCAO,,ALN 628,66,OEJ 102 01/11 SANCAO ALN 628 -0.50 23 4% 3.14 26 1% 70.37 20 4% 11.71 18 5% 30 0 17.81 18 8%,-0.5,23,4%,4.0,3.14,26,1%,1.0,70.37,20,4%,4.0,11.71,18,5%,5.0,17.81,18,8%,8.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,66,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 -0.46 47 5% 2.02 46 8% 69.95 35 5% 12.35 41 5% 6 0 23.53 31 3%,-0.46,47,5%,5.0,2.02,46,8%,8.0,69.95,35,5%,5.0,12.35,41,5%,5.0,23.53,31,3%,3.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,MBF 3143,11/07,SATURNO MB DA FLOR,,MBF 1636,66,MBF 3143 11/07 SATURNO MB DA FLOR MBF 1636 -0.18 14 22% 1.87 12 11% 67.72 25 8% 5.30 9 21% 10 0 7.63 8 28%,-0.18,14,22%,22.0,1.87,12,11%,11.0,67.72,25,8%,8.0,5.3,9,21%,21.0,7.63,8,28%,28.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,LIA 659,05/08,CANDADO FIV DA,,LIAB 1255,66,LIA 659 05/08 CANDADO FIV DA LIAB 1255 -0.08 20 34% 2.23 25 6% 67.48 21 8% 5.55 32 20% 10 0 16.08 20 10%,-0.08,20,34%,34.0,2.23,25,6%,6.0,67.48,21,8%,8.0,5.55,32,20%,20.0,16.08,20,10%,10.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,RNF 1429,01/07,ILUMINADO RF 4,,IRMAS 1206,66,RNF 1429 01/07 ILUMINADO RF 4 IRMAS 1206 0.26 27 85% 3.05 27 1% 67.27 21 8% 2.70 10 41% 38 0 18.54 10 7%,0.26,27,85%,85.0,3.05,27,1%,1.0,67.27,21,8%,8.0,2.7,10,41%,41.0,18.54,10,7%,7.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,THUT 1,12/11,GROSCO,,THU 8202,66,THUT 1 12/11 GROSCO THU 8202 -0.08 12 34% 1.79 10 13% 66.15 24 10% 13.94 8 3% 8 0 16.74 8 9%,-0.08,12,34%,34.0,1.79,10,13%,13.0,66.15,24,10%,10.0,13.94,8,3%,3.0,16.74,8,9%,9.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,DORN 289,11/06,CERTEIRO FIV DA DORN,G,NYFP 1459,66,"DORN 289 11/06 CERTEIRO FIV DA DORN G NYFP 1459 -0.24 43 16% 3.47 52 0,5% 66.07 46 10% 20.27 42 0,5% 15 0 21.75 39 4%",-0.24,43,16%,16.0,3.47,52,"0,5%",0.5,66.07,46,10%,10.0,20.27,42,"0,5%",0.5,21.75,39,4%,4.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,CCCC 5328,12/11,ENTULHO CC,,CCCC 1019,66,CCCC 5328 12/11 ENTULHO CC CCCC 1019 0.18 14 74% 1.46 10 21% 65.14 23 12% 12.51 10 4% 8 0 16.72 10 9%,0.18,14,74%,74.0,1.46,10,21%,21.0,65.14,23,12%,12.0,12.51,10,4%,4.0,16.72,10,9%,9.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,66,"PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 -1.26 34 0,1% 0.77 50 42% 65.06 42 12% 13.38 55 3% 5 0 20.80 34 5%",-1.26,34,"0,1%",0.1,0.77,50,42%,42.0,65.06,42,12%,12.0,13.38,55,3%,3.0,20.8,34,5%,5.0,"IPP,MP120,STAY,P450,MGTe"
Tabapuã,LETA 2266,10/07,KATUMBO DA PALMEIRA,,TABA R2816,66,LETA 2266 10/07 KATUMBO DA PALMEIRA TABA R2816 -0.23 11 17% 1.23 10 27% 64.63 22 13% 10.71 15 7% 16 0 26.95 10 2%,-0.23,11,17%,17.0,1.23,10,27%,27.0,64.63,22,13%,13.0,10.71,15,7%,7.0,26.95,10,2%,2.0,"IPP,MP120,STAY,P450,MGTe"
