breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,CSC 9974,08/08,RUSSEL DO CÃ“RREGO,,TABA R2816,67,"CSC 9974 08/08 RUSSEL DO CÃ“RREGO TABA R2816 -0.23 16 17% 2.08 14 7% 63.99 25 14% 13.95 46 3% 2.78 56 0,5% 34 2 32.39 14 0,5%",-0.23,16,17%,17.0,2.08,14,7%,7.0,63.99,25,14%,14.0,13.95,46,3%,3.0,2.78,56,"0,5%",0.5,32.39,14,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,GER 5694,10/08,5694 DA COPAC.,,TABA R2816,67,GER 5694 10/08 5694 DA COPAC. TABA R2816 -0.32 13 11% 2.00 14 9% 62.60 18 18% 10.72 35 7% 2.43 49 2% 15 1 26.03 13 2%,-0.32,13,11%,11.0,2.0,14,9%,9.0,62.6,18,18%,18.0,10.72,35,7%,7.0,2.43,49,2%,2.0,26.03,13,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,ALD 2588,08/18,DANDI DO COCA,,OEJ 102,67,ALD 2588 08/18 DANDI DO COCA OEJ 102 -0.38 9 8% 2.94 10 2% 69.08 10 6% 13.01 10 4% 1.39 38 4% 7 1 24.65 9 3%,-0.38,9,8%,8.0,2.94,10,2%,2.0,69.08,10,6%,6.0,13.01,10,4%,4.0,1.39,38,4%,4.0,24.65,9,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,RNF 1429,01/07,ILUMINADO RF 4,,IRMAS 1206,67,RNF 1429 01/07 ILUMINADO RF 4 IRMAS 1206 0.26 27 85% 3.05 27 1% 67.27 21 8% 2.70 10 41% 1.14 39 5% 21 1 18.54 10 7%,0.26,27,85%,85.0,3.05,27,1%,1.0,67.27,21,8%,8.0,2.7,10,41%,41.0,1.14,39,5%,5.0,18.54,10,7%,7.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,CAP 2207,10/14,ACOLHIDO DA CAPEBA,,LETA 453,67,CAP 2207 10/14 ACOLHIDO DA CAPEBA LETA 453 -0.08 6 34% 0.89 13 38% 72.19 12 3% 18.88 16 1% 1.12 24 5% 4 1 29.75 6 1%,-0.08,6,34%,34.0,0.89,13,38%,38.0,72.19,12,3%,3.0,18.88,16,1%,1.0,1.12,24,5%,5.0,29.75,6,1%,1.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,CSC 11535,11/15,BACURU DO CORREGO,,CSC 9643,67,CSC 11535 11/15 BACURU DO CORREGO CSC 9643 -0.18 6 22% -0.62 15 99% 70.89 10 4% 17.70 26 1% 1.07 37 5% 13 1 26.17 6 2%,-0.18,6,22%,22.0,-0.62,15,99%,99.0,70.89,10,4%,4.0,17.7,26,1%,1.0,1.07,37,5%,5.0,26.17,6,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TJG 1061,10/16,HOMOGRAFO TJG,,FZCH 1085,67,TJG 1061 10/16 HOMOGRAFO TJG FZCH 1085 0.20 6 77% 1.89 9 11% 73.30 14 2% 17.51 31 1% 0.98 20 5% 5 3 22.80 6 3%,0.2,6,77%,77.0,1.89,9,11%,11.0,73.3,14,2%,2.0,17.51,31,1%,1.0,0.98,20,5%,5.0,22.8,6,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,PRT 5229,08/06,NAUÃƒ DA PRATA,G,PRT 4450,67,PRT 5229 08/06 NAUÃƒ DA PRATA G PRT 4450 -0.76 44 1% 1.85 49 11% 69.19 45 6% 5.32 40 21% 0.96 51 5% 5 2 23.40 40 3%,-0.76,44,1%,1.0,1.85,49,11%,11.0,69.19,45,6%,6.0,5.32,40,21%,21.0,0.96,51,5%,5.0,23.4,40,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TROA 2561,08/15,BALANCETE TRO,,TABA R2816,67,TROA 2561 08/15 BALANCETE TRO TABA R2816 -0.42 20 6% 1.62 17 17% 74.99 16 1% 7.75 51 14% 0.94 49 5% 33 3 23.70 16 3%,-0.42,20,6%,6.0,1.62,17,17%,17.0,74.99,16,1%,1.0,7.75,51,14%,14.0,0.94,49,5%,5.0,23.7,16,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,RNF 2523,04/12,TOTEM FIV RF 4 IRMAS,G,RNF 1769,67,"RNF 2523 04/12 TOTEM FIV RF 4 IRMAS G RNF 1769 -0.49 37 4% -0.12 50 93% 75.42 48 1% 20.20 48 0,5% 0.88 45 6% 5 2 27.95 37 2%",-0.49,37,4%,4.0,-0.12,50,93%,93.0,75.42,48,1%,1.0,20.2,48,"0,5%",0.5,0.88,45,6%,6.0,27.95,37,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,GER 6421,08/10,6421 DA COPAC.,,CSC 7425,67,"GER 6421 08/10 6421 DA COPAC. CSC 7425 0.15 14 68% 3.36 15 0,5% 70.60 12 4% 26.73 10 0,1% 0.79 55 6% 14 3 37.78 10 0,1%",0.15,14,68%,68.0,3.36,15,"0,5%",0.5,70.6,12,4%,4.0,26.73,10,"0,1%",0.1,0.79,55,6%,6.0,37.78,10,"0,1%",0.1,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,CMC 442,03/10,PARANA DE CMC,,TABA R2816,67,CMC 442 03/10 PARANA DE CMC TABA R2816 -0.47 11 5% 2.40 12 4% 68.27 17 7% 13.92 17 3% 0.76 26 6% 5 3 22.78 11 3%,-0.47,11,5%,5.0,2.4,12,4%,4.0,68.27,17,7%,7.0,13.92,17,3%,3.0,0.76,26,6%,6.0,22.78,11,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,GCK 1876,10/10,PRUDENTE DA KAYLUA,,TABA R2816,67,GCK 1876 10/10 PRUDENTE DA KAYLUA TABA R2816 -0.32 16 11% 2.24 14 6% 64.77 17 12% 3.80 24 30% 0.72 48 7% 20 2 13.25 14 15%,-0.32,16,11%,11.0,2.24,14,6%,6.0,64.77,17,12%,12.0,3.8,24,30%,30.0,0.72,48,7%,7.0,13.25,14,15%,15.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TROA 1284,07/10,SAFISMO TRO,,TRO 177,67,TROA 1284 07/10 SAFISMO TRO TRO 177 -0.05 5 39% 2.37 21 4% 70.28 12 5% 8.80 22 11% 0.70 51 7% 14 1 18.73 5 7%,-0.05,5,39%,39.0,2.37,21,4%,4.0,70.28,12,5%,5.0,8.8,22,11%,11.0,0.7,51,7%,7.0,18.73,5,7%,7.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,DORN 289,11/06,CERTEIRO FIV DA DORN,G,NYFP 1459,67,"DORN 289 11/06 CERTEIRO FIV DA DORN G NYFP 1459 -0.24 43 16% 3.47 52 0,5% 66.07 46 10% 20.27 42 0,5% 0.69 39 7% 4 2 21.75 39 4%",-0.24,43,16%,16.0,3.47,52,"0,5%",0.5,66.07,46,10%,10.0,20.27,42,"0,5%",0.5,0.69,39,7%,7.0,21.75,39,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,THUT 1,12/11,GROSCO,,THU 8202,67,THUT 1 12/11 GROSCO THU 8202 -0.08 12 34% 1.79 10 13% 66.15 24 10% 13.94 8 3% 0.67 39 7% 4 1 16.74 8 9%,-0.08,12,34%,34.0,1.79,10,13%,13.0,66.15,24,10%,10.0,13.94,8,3%,3.0,0.67,39,7%,7.0,16.74,8,9%,9.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,CSC 11626,11/16,CISQUEIRO DO CORREGO,,CSC 9643,67,CSC 11626 11/16 CISQUEIRO DO CORREGO CSC 9643 0.27 6 86% 0.91 9 38% 75.04 10 1% -1.17 36 94% 0.67 32 7% 8 2 15.21 6 12%,0.27,6,86%,86.0,0.91,9,38%,38.0,75.04,10,1%,1.0,-1.17,36,94%,94.0,0.67,32,7%,7.0,15.21,6,12%,12.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,CSC 9643,09/07,POLITZ DO CORREGO,,TABA R2816,67,CSC 9643 09/07 POLITZ DO CORREGO TABA R2816 -0.55 13 3% 1.39 13 23% 72.62 18 3% 17.89 21 1% 0.66 43 7% 6 2 30.20 13 1%,-0.55,13,3%,3.0,1.39,13,23%,23.0,72.62,18,3%,3.0,17.89,21,1%,1.0,0.66,43,7%,7.0,30.2,13,1%,1.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,MBF 3413,06/09,UAI MB DA FLOR,,TABA R2816,67,MBF 3413 06/09 UAI MB DA FLOR TABA R2816 -0.63 13 2% 0.75 13 43% 73.23 21 2% 17.09 18 1% 0.65 38 7% 12 2 21.67 13 4%,-0.63,13,2%,2.0,0.75,13,43%,43.0,73.23,21,2%,2.0,17.09,18,1%,1.0,0.65,38,7%,7.0,21.67,13,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,CSC 9480,03/07,PADRÃƒO DO CÃ“RREGO,,CCCC 2007,67,CSC 9480 03/07 PADRÃƒO DO CÃ“RREGO CCCC 2007 0.13 7 65% 2.21 15 6% 62.03 11 19% 12.08 20 5% 0.63 30 8% 5 2 16.92 7 9%,0.13,7,65%,65.0,2.21,15,6%,6.0,62.03,11,19%,19.0,12.08,20,5%,5.0,0.63,30,8%,8.0,16.92,7,9%,9.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,LIA 659,05/08,CANDADO FIV DA,,LIAB 1255,67,LIA 659 05/08 CANDADO FIV DA LIAB 1255 -0.08 20 34% 2.23 25 6% 67.48 21 8% 5.55 32 20% 0.61 57 8% 37 5 16.08 20 10%,-0.08,20,34%,34.0,2.23,25,6%,6.0,67.48,21,8%,8.0,5.55,32,20%,20.0,0.61,57,8%,8.0,16.08,20,10%,10.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,PRT 5785,09/08,PAIRANTE DA PRATA,,PRT 4450,67,PRT 5785 09/08 PAIRANTE DA PRATA PRT 4450 -0.16 26 24% 1.80 6 12% 58.69 12 42% -1.63 21 96% 0.56 31 9% 9 1 8.22 6 26%,-0.16,26,24%,24.0,1.8,6,12%,12.0,58.69,12,42%,42.0,-1.63,21,96%,96.0,0.56,31,9%,9.0,8.22,6,26%,26.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TRO 207,10/06,OPUSCULO TRO,,NYFP 2497,67,"TRO 207 10/06 OPUSCULO TRO NYFP 2497 0.37 21 94% 3.81 23 0,5% 61.89 36 20% 8.95 10 11% 0.54 59 9% 39 1 14.60 10 13%",0.37,21,94%,94.0,3.81,23,"0,5%",0.5,61.89,36,20%,20.0,8.95,10,11%,11.0,0.54,59,9%,9.0,14.6,10,13%,13.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,OEJ 102,01/11,SANCAO,,ALN 628,67,OEJ 102 01/11 SANCAO ALN 628 -0.50 23 4% 3.14 26 1% 70.37 20 4% 11.71 18 5% 0.52 65 9% 53 4 17.81 18 8%,-0.5,23,4%,4.0,3.14,26,1%,1.0,70.37,20,4%,4.0,11.71,18,5%,5.0,0.52,65,9%,9.0,17.81,18,8%,8.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,RNF 3282,09/16,TROUBLE FIV RF 4 IRMA,,TABA R2816,67,"RNF 3282 09/16 TROUBLE FIV RF 4 IRMA TABA R2816 -0.32 20 11% 3.25 18 0,5% 75.52 18 1% 9.04 25 11% 0.52 51 9% 54 2 26.38 18 2%",-0.32,20,11%,11.0,3.25,18,"0,5%",0.5,75.52,18,1%,1.0,9.04,25,11%,11.0,0.52,51,9%,9.0,26.38,18,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,67,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 -0.46 47 5% 2.02 46 8% 69.95 35 5% 12.35 41 5% 0.51 45 9% 11 3 23.53 31 3%,-0.46,47,5%,5.0,2.02,46,8%,8.0,69.95,35,5%,5.0,12.35,41,5%,5.0,0.51,45,9%,9.0,23.53,31,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
