breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Sindi,SOSP 89,08/10,SOSP GERAL,,EMGS 337,75,"SOSP 89 08/10 SOSP GERAL EMGS 337 -1.49 11 100% 63.89 17 42% 10.97 10 2% 8.42 10 14% 4.13 9 0,5% 0 0 28.79 9 1%",-1.49,11,100%,100.0,63.89,17,42%,42.0,10.97,10,2%,2.0,8.42,10,14%,14.0,4.13,9,"0,5%",0.5,28.79,9,1%,1.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,MDVS 2643,03/10,DEVANEIO D,,EMGS 337,75,MDVS 2643 03/10 DEVANEIO D EMGS 337 1.09 10 30% 75.95 11 16% 10.32 14 3% 14.71 8 5% 0.59 13 17% 2 1 25.61 8 2%,1.09,10,30%,30.0,75.95,11,16%,16.0,10.32,14,3%,3.0,14.71,8,5%,5.0,0.59,13,17%,17.0,25.61,8,2%,2.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,AJCA 1613,10/11,UNICEFANO DA ESTIVA,,AJCA 1084,75,AJCA 1613 10/11 UNICEFANO DA ESTIVA AJCA 1084 1.03 11 32% 79.86 6 7% 5.58 20 11% 12.49 9 7% 0.63 15 15% 10 1 23.81 6 3%,1.03,11,32%,32.0,79.86,6,7%,7.0,5.58,20,11%,11.0,12.49,9,7%,7.0,0.63,15,15%,15.0,23.81,6,3%,3.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,AJCA 945,12/06,PINTOR DA ESTIVA,,AJCA 699,75,AJCA 945 12/06 PINTOR DA ESTIVA AJCA 699 -0.41 11 95% 84.84 10 2% -5.15 11 94% 8.64 13 13% 2.33 11 3% 1 1 22.59 10 4%,-0.41,11,95%,95.0,84.84,10,2%,2.0,-5.15,11,94%,94.0,8.64,13,13%,13.0,2.33,11,3%,3.0,22.59,10,4%,4.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,OTPS 202,01/19,GURI FIV OT,,AJCA 1094,75,"OTPS 202 01/19 GURI FIV OT AJCA 1094 1.86 12 11% 89.59 12 0,1% -0.55 27 58% -4.62 11 87% 0.81 33 10% 9 1 21.01 7 5%",1.86,12,11%,11.0,89.59,12,"0,1%",0.1,-0.55,27,58%,58.0,-4.62,11,87%,87.0,0.81,33,10%,10.0,21.01,7,5%,5.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,RAJI 204,03/12,RAJA FIFOSO,,AJCF 47,75,RAJI 204 03/12 RAJA FIFOSO AJCF 47 0.59 10 48% 80.26 12 6% -0.09 27 48% 8.04 20 15% 0.77 35 11% 8 1 19.79 5 6%,0.59,10,48%,48.0,80.26,12,6%,6.0,-0.09,27,48%,48.0,8.04,20,15%,15.0,0.77,35,11%,11.0,19.79,5,6%,6.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,AJCA 1124,01/08,REGISTRO DA ESTIVA,,AJCA 780,75,AJCA 1124 01/08 REGISTRO DA ESTIVA AJCA 780 2.90 14 3% 76.87 9 13% 0.15 41 45% 8.24 19 15% 0.64 27 15% 5 2 19.53 8 7%,2.9,14,3%,3.0,76.87,9,13%,13.0,0.15,41,45%,45.0,8.24,19,15%,15.0,0.64,27,15%,15.0,19.53,8,7%,7.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,JTSJ 76,02/15,HEBREU BOMPASTO,,AJCA 1094,75,JTSJ 76 02/15 HEBREU BOMPASTO AJCA 1094 0.83 10 38% 82.96 9 3% -4.31 16 90% -5.11 10 88% 0.74 32 12% 15 1 18.51 6 8%,0.83,10,38%,38.0,82.96,9,3%,3.0,-4.31,16,90%,90.0,-5.11,10,88%,88.0,0.74,32,12%,12.0,18.51,6,8%,8.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,JHVS 543,01/16,CAMPEAO,,FIV CAMPARINO,75,JHVS 543 01/16 CAMPEAO FIV CAMPARINO 1.91 27 11% 82.21 12 4% -2.05 36 77% 1.92 11 49% 0.24 41 39% 2 1 17.80 11 10%,1.91,27,11%,11.0,82.21,12,4%,4.0,-2.05,36,77%,77.0,1.92,11,49%,49.0,0.24,41,39%,39.0,17.8,11,10%,10.0,"MP120,STAY,P210,P450,PE365,MGTe"
Sindi,AJCF 74,08/09,ALMIRANTE AJCF,,AJCA 780,75,"AJCF 74 08/09 ALMIRANTE AJCF AJCA 780 1.11 8 30% 87.85 10 0,5% 1.04 20 34% 9.25 12 12% -0.23 23 83% 0 0 17.69 8 10%",1.11,8,30%,30.0,87.85,10,"0,5%",0.5,1.04,20,34%,34.0,9.25,12,12%,12.0,-0.23,23,83%,83.0,17.69,8,10%,10.0,"MP120,STAY,P210,P450,PE365,MGTe"
