breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Sindi,AJCF 167,04/11,CUPIDO AJCF,,AJCA 1094,77,AJCF 167 04/11 CUPIDO AJCF AJCA 1094 74.27 42 13% 1.48 31 19% 83.59 17 2% -10.55 8 95% 25 0 11.06 8 31%,74.27,42,13%,13.0,1.48,31,19%,19.0,83.59,17,2%,2.0,-10.55,8,95%,95.0,11.06,8,31%,31.0,"3P,MP120,STAY,P450,MGTe"
Sindi,JHVS 543,01/16,CAMPEAO,,FIV CAMPARINO,77,JHVS 543 01/16 CAMPEAO FIV CAMPARINO 69.34 32 26% 1.91 27 11% 82.21 12 4% 1.92 11 49% 7 0 17.80 11 10%,69.34,32,26%,26.0,1.91,27,11%,11.0,82.21,12,4%,4.0,1.92,11,49%,49.0,17.8,11,10%,10.0,"3P,MP120,STAY,P450,MGTe"
Sindi,AJCF 107,04/10,BAMBINO AJCF,,EMGS 405,77,AJCF 107 04/10 BAMBINO AJCF EMGS 405 76.15 10 10% 0.39 12 59% 81.09 11 5% 21.22 9 2% 4 0 23.68 4 3%,76.15,10,10%,10.0,0.39,12,59%,59.0,81.09,11,5%,5.0,21.22,9,2%,2.0,23.68,4,3%,3.0,"3P,MP120,STAY,P450,MGTe"
Sindi,RAJI 204,03/12,RAJA FIFOSO,,AJCF 47,77,RAJI 204 03/12 RAJA FIFOSO AJCF 47 74.78 12 12% 0.59 10 48% 80.26 12 6% 8.04 20 15% 3 0 19.79 5 6%,74.78,12,12%,12.0,0.59,10,48%,48.0,80.26,12,6%,6.0,8.04,20,15%,15.0,19.79,5,6%,6.0,"3P,MP120,STAY,P450,MGTe"
Sindi,POP 1868,09/11,COMANDO P,,POP 1413,77,POP 1868 09/11 COMANDO P POP 1413 53.20 15 60% 1.25 7 25% 77.79 11 11% 20.75 8 2% 4 0 23.09 7 3%,53.2,15,60%,60.0,1.25,7,25%,25.0,77.79,11,11%,11.0,20.75,8,2%,2.0,23.09,7,3%,3.0,"3P,MP120,STAY,P450,MGTe"
Sindi,RJBS 131,11/15,RJBS 131,,FIV JAUQUARA,77,RJBS 131 11/15 RJBS 131 FIV JAUQUARA 63.10 8 40% 0.91 9 35% 76.39 13 15% 8.85 7 13% 2 0 16.90 7 12%,63.1,8,40%,40.0,0.91,9,35%,35.0,76.39,13,15%,15.0,8.85,7,13%,13.0,16.9,7,12%,12.0,"3P,MP120,STAY,P450,MGTe"
Sindi,AJCA 1094,12/07,QUERENTE DA ESTIVA,,AJCA 679,77,AJCA 1094 12/07 QUERENTE DA ESTIVA AJCA 679 71.27 47 21% 2.20 41 7% 75.53 15 17% -5.76 4 89% 52 0 8.85 4 39%,71.27,47,21%,21.0,2.2,41,7%,7.0,75.53,15,17%,17.0,-5.76,4,89%,89.0,8.85,4,39%,39.0,"3P,MP120,STAY,P450,MGTe"
Sindi,AJCA 1827,01/13,XILON,,DA ESTIVA,77,AJCA 1827 01/13 XILON DA ESTIVA 67.79 55 29% 2.49 47 5% 75.31 26 18% -17.03 10 97% 43 0 8.88 10 39%,67.79,55,29%,29.0,2.49,47,5%,5.0,75.31,26,18%,18.0,-17.03,10,97%,97.0,8.88,10,39%,39.0,"3P,MP120,STAY,P450,MGTe"
Sindi,AJCF 27,12/08,AMULETO FIV AJCF,,AJCA 777,77,AJCF 27 12/08 AMULETO FIV AJCF AJCA 777 73.81 14 14% 0.83 15 38% 73.82 10 22% -0.68 10 71% 4 0 12.92 10 24%,73.81,14,14%,14.0,0.83,15,38%,38.0,73.82,10,22%,22.0,-0.68,10,71%,71.0,12.92,10,24%,24.0,"3P,MP120,STAY,P450,MGTe"
Sindi,AJCA 1734,06/12,VILALOBOS DA ESTIVA,,AJCA 814,77,AJCA 1734 06/12 VILALOBOS DA ESTIVA AJCA 814 66.19 15 33% 1.42 10 21% 70.05 13 29% 8.67 8 13% 4 0 13.58 5 22%,66.19,15,33%,33.0,1.42,10,21%,21.0,70.05,13,29%,29.0,8.67,8,13%,13.0,13.58,5,22%,22.0,"3P,MP120,STAY,P450,MGTe"
